block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,4214.532715,7586159,0.000090,0.000090,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.263672,7585675,0.792293,0.419879,0.000000,0.000000,0.000000,0.372414,24264832,
1,cube0,4214.794922,7586631,0.000090,0.000090,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.519043,7586134,0.792293,0.419879,0.000000,0.000000,0.000000,0.372414,24264832,
2,cube0,4214.682129,7586428,0.000090,0.000090,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.232422,7585618,0.792293,0.419879,0.000000,0.000000,0.000000,0.372414,24264832,
3,cube0,4214.567383,7586221,0.000090,0.000090,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.211426,7585581,0.792293,0.419879,0.000000,0.000000,0.000000,0.372414,24264832,
4,cube0,3164.517822,5696132,0.000068,0.000068,0.000000,24576,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3164.162109,5695492,0.594221,0.314909,0.000000,0.000000,0.000000,0.279312,18198656,
5,cube0,3164.430664,5695975,0.000068,0.000068,0.000000,24576,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3164.166748,5695500,0.594221,0.314909,0.000000,0.000000,0.000000,0.279312,18198656,
6,cube0,3164.212891,5695583,0.000068,0.000068,0.000000,24576,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.930664,5695075,0.594221,0.314909,0.000000,0.000000,0.000000,0.279312,18198656,
7,cube0,3164.178223,5695521,0.000068,0.000068,0.000000,24576,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.915527,5695048,0.594221,0.314909,0.000000,0.000000,0.000000,0.279312,18198656,
8,cube0,3162.332275,5692198,0.000068,0.000068,0.000000,24576,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
