block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,4214.532715,7586159,26,161,20849,266,20835,247,13.903744,98.784271,98.409775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.263672,7585675,15,16384,701,330,699,341,0.091469,67.600197,7.661072,
1,cube0,4214.794922,7586631,26,161,21974,261,21993,252,13.903744,98.846672,98.491058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.519043,7586134,15,16384,736,288,772,275,0.091469,72.815063,8.245804,
2,cube0,4214.682129,7586428,25,162,19283,246,19238,267,13.368984,98.685760,98.278984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.232422,7585618,15,16384,779,276,734,282,0.091469,73.056496,8.272875,
3,cube0,4214.567383,7586221,26,161,22893,244,22862,269,13.903744,98.891243,98.549133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.211426,7585581,15,16384,650,390,649,383,0.091469,62.693050,7.113854,
4,cube0,3164.517822,5696132,20,129,14236,194,14270,191,13.422819,98.667404,98.230026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3164.162109,5695492,12,12288,647,144,628,136,0.097561,81.993568,9.289065,
