block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,4214.532715,7586159,0.036461,0.032787,1.192675,0.018768,22,0.000128,21,0.000480,14,0.000304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5274.625000,83.000000,145.000000,0.012419,32.000000,0.003628,0.000000,0.000000,64.000000,0.006914,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.263672,7585675,1.852707,0.057942,0.058536,1.852763,2054,0.027698,526,0.022360,258.875000,8193.875000,NA,NA,NA,NA,NA,NA,NA,NA,256.250000,0.026330,8193.625000,0.991813,
1,cube0,4214.794922,7586631,0.036461,0.032787,1.257203,0.018768,22,0.000128,21,0.000429,14,0.000555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5560.000000,83.000000,145.000000,0.012419,32.000000,0.003628,0.000000,0.000000,64.000000,0.006914,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.519043,7586134,1.852707,0.057942,0.058536,1.852763,2054,0.027497,526,0.022514,258.875000,8193.875000,NA,NA,NA,NA,NA,NA,NA,NA,256.250000,0.026330,8193.625000,0.991813,
2,cube0,4214.682129,7586428,0.036461,0.032787,1.103275,0.018768,22,0.000128,21,0.000471,14,0.000292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4879.250000,83.000000,145.000000,0.012419,32.000000,0.003628,0.000000,0.000000,64.000000,0.006914,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.232422,7585618,1.852707,0.057942,0.058536,1.852763,2054,0.027666,526,0.022545,258.875000,8193.875000,NA,NA,NA,NA,NA,NA,NA,NA,256.250000,0.026330,8193.625000,0.991813,
3,cube0,4214.567383,7586221,0.036461,0.032787,1.307740,0.018768,22,0.000128,21,0.000526,14,0.000542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5783.500000,83.000000,145.000000,0.012419,32.000000,0.003628,0.000000,0.000000,64.000000,0.006914,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.211426,7585581,1.852707,0.057942,0.058564,1.852763,2054,0.027643,526,0.021890,259.000000,8193.875000,NA,NA,NA,NA,NA,NA,NA,NA,256.250000,0.026330,8193.625000,0.991813,
4,cube0,3164.517822,5696132,0.029169,0.025495,0.816588,0.015008,18,0.000096,17,0.000338,13,0.000147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3611.375000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3164.162109,5695492,1.389537,0.043471,0.043951,1.389594,1541,0.021181,395,0.016629,194.375000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
5,cube0,3164.430664,5695975,0.029169,0.025495,0.948640,0.015008,18,0.000096,17,0.000349,13,0.000136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4195.375000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3164.166748,5695500,1.389537,0.043471,0.043951,1.389594,1541,0.021420,395,0.017685,194.375000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
6,cube0,3164.212891,5695583,0.029169,0.025495,0.780749,0.015008,18,0.000096,17,0.000350,13,0.000149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3452.875000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3163.930664,5695075,1.389537,0.043471,0.043951,1.389594,1541,0.021266,395,0.017379,194.375000,6145.500000,NA,NA,NA,NA,NA,NA,NA,NA,192.250000,0.019754,6145.250000,0.743864,
7,cube0,3164.178223,5695521,0.029169,0.025495,0.876509,0.015008,18,0.000096,17,0.000357,13,0.000152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3876.375000,66.375000,112.750000,0.009657,28.500000,0.003231,0.000000,0.000000,48.000000,0.005185,NA,NA,NA,NA,
