block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,4214.532715,7586159,0.014471,0.014471,0.057886,0.014471,0.000000,0.014471,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4214.263672,7585675,
1,cube0,4214.794922,7586631,0.014471,0.014471,0.057886,0.014471,0.000000,0.014471,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4214.519043,7586134,
2,cube0,4214.682129,7586428,0.014471,0.014471,0.057886,0.014471,0.000000,0.014471,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4214.232422,7585618,
3,cube0,4214.567383,7586221,0.014471,0.014471,0.057886,0.014471,0.000000,0.014471,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,4214.211426,7585581,
4,cube0,3164.517822,5696132,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3164.162109,5695492,
5,cube0,3164.430664,5695975,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3164.166748,5695500,
6,cube0,3164.212891,5695583,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3163.930664,5695075,
7,cube0,3164.178223,5695521,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3163.915527,5695048,
8,cube0,3162.332275,5692198,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3162.005615,5691610,
9,cube0,3162.286621,5692116,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3161.857178,5691343,
10,cube0,3162.573975,5692633,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3162.273438,5692092,
11,cube0,3162.658936,5692786,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3162.279541,5692103,
12,cube0,3163.876709,5694978,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3163.609375,5694497,
13,cube0,3163.863281,5694954,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3163.524414,5694344,
14,cube0,3164.006592,5695212,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3163.682861,5694629,
15,cube0,3163.876221,5694977,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3163.476074,5694257,
16,cube0,3163.152832,5693675,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3162.875488,5693176,
17,cube0,3163.052734,5693495,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3162.673828,5692813,
18,cube0,3163.205078,5693769,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3162.823975,5693083,
19,cube0,3163.127686,5693630,0.010854,0.010854,0.043414,0.010854,0.000000,0.010854,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,3162.751709,5692953,
