block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,4214.532715,7586159,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,4214.263672,7585675,24.109352,16.757881,0.231557,0.000336,
1,cube0,4214.794922,7586631,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,4214.519043,7586134,24.109352,16.757881,0.231557,0.000336,
2,cube0,4214.682129,7586428,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,4214.232422,7585618,24.109352,16.757881,0.231557,0.000336,
3,cube0,4214.567383,7586221,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,4214.211426,7585581,24.109352,16.757881,0.231557,0.000336,
4,cube0,3164.517822,5696132,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,3164.162109,5695492,18.082014,12.568410,0.173671,0.000258,
5,cube0,3164.430664,5695975,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,3164.166748,5695500,18.082014,12.568410,0.173671,0.000258,
6,cube0,3164.212891,5695583,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,3163.930664,5695075,18.082014,12.568410,0.173671,0.000258,
7,cube0,3164.178223,5695521,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,3163.915527,5695048,18.082014,12.568410,0.173671,0.000258,
8,cube0,3162.332275,5692198,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,3162.005615,5691610,18.082014,12.568410,0.173671,0.000258,
9,cube0,3162.286621,5692116,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,3161.857178,5691343,18.082014,12.568410,0.173671,0.000258,
10,cube0,3162.573975,5692633,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,3162.273438,5692092,18.082014,12.568410,0.173671,0.000258,
11,cube0,3162.658936,5692786,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,3162.279541,5692103,18.082014,12.568410,0.173671,0.000258,
12,cube0,3163.876709,5694978,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,3163.609375,5694497,18.082014,12.568410,0.173671,0.000258,
13,cube0,3163.863281,5694954,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,3163.524414,5694344,18.082014,12.568410,0.173671,0.000258,
14,cube0,3164.006592,5695212,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,3163.682861,5694629,18.082014,12.568410,0.173671,0.000258,
15,cube0,3163.876221,5694977,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,3163.476074,5694257,18.082014,12.568410,0.173671,0.000258,
16,cube0,3163.152832,5693675,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,3162.875488,5693176,18.082014,12.568410,0.173671,0.000258,
17,cube0,3163.052734,5693495,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,3162.673828,5692813,18.082014,12.568410,0.173671,0.000258,
18,cube0,3163.205078,5693769,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,3162.823975,5693083,18.082014,12.568410,0.173671,0.000258,
19,cube0,3163.127686,5693630,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,3162.751709,5692953,18.082014,12.568410,0.173671,0.000258,
