block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id15_time(us),
0,cube0,4214.532715,7586159,0.380000,0.000090,0.538333,0.000128,2.023889,0.000480,1.281667,0.000304,23.810854,1.486667,0.000353,41.055038,0.000000,4122.372070,0.977560,138.023895,138.202774,0.000000,0.000000,0.000000,0.000000,183.462784,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.263672,7585675,3341.100098,0.792293,116.801109,0.027698,2.092267,94.290558,0.022360,82.872032,0.000000,1509.578369,0.357974,473.075012,330.968323,0.000000,0.000000,0.000000,2582.743896,2.020000,406.248322,8.195000,0.000000,
1,cube0,4214.794922,7586631,0.380000,0.000090,0.538333,0.000128,1.807222,0.000429,2.341667,0.000555,13.032417,1.372778,0.000326,44.461060,0.000000,4116.644043,0.976202,145.620560,145.799438,0.000000,0.000000,0.000000,0.000000,193.563889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.519043,7586134,3341.100098,0.792293,115.954445,0.027497,2.107544,94.942780,0.022514,82.302727,0.000000,1507.250000,0.357422,473.075012,330.968323,0.000000,0.000000,0.000000,2582.743896,1.995000,405.842773,9.734445,0.000000,
2,cube0,4214.682129,7586428,0.380000,0.000090,0.538333,0.000128,1.987222,0.000471,1.233333,0.000292,24.743982,1.551667,0.000368,39.335224,0.000000,4129.612305,0.979277,127.470558,127.649445,0.000000,0.000000,0.000000,0.000000,169.383896,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.232422,7585618,3341.100098,0.792293,116.665558,0.027666,2.094697,95.071114,0.022545,82.191628,0.000000,1507.964478,0.357592,473.075012,330.968323,0.000000,0.000000,0.000000,2582.743896,2.016667,405.825012,8.542222,0.000000,
3,cube0,4214.567383,7586221,0.380000,0.000090,0.538333,0.000128,2.217222,0.000526,2.286111,0.000542,13.349123,1.891667,0.000449,32.265282,0.000000,4112.588867,0.975240,151.580551,151.759445,0.000000,0.000000,0.000000,0.000000,201.527222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.211426,7585581,3341.100098,0.792293,116.569443,0.027643,2.096425,92.309998,0.021890,84.650093,0.000000,1509.008301,0.357839,473.075012,330.968323,0.000000,0.000000,0.000000,2582.743896,1.997222,405.851654,8.560555,0.000000,
4,cube0,3164.517822,5696132,0.285000,0.000068,0.405556,0.000096,1.423333,0.000338,0.621667,0.000147,43.720726,1.015000,0.000241,45.099869,0.000000,3101.958252,0.735584,94.346664,94.488892,0.000000,0.000000,0.000000,0.000000,125.367226,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3164.162109,5695492,2505.828857,0.594221,89.318886,0.021181,2.052689,70.125000,0.016629,83.573151,0.000000,1130.231689,0.268018,354.823883,248.257782,0.000000,0.000000,0.000000,1937.058838,1.545556,305.718903,8.105556,1.151111,
