block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,4214.532715,7586159,0.000410,0.000441,0.000001,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,4214.263672,7585675,0.012951,0.012951,0.000000,0.000000,0.000000,0.031251,0.067339,0.071249,
1,cube0,4214.794922,7586631,0.000358,0.000389,0.000001,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,4214.519043,7586134,0.012951,0.012951,0.000000,0.000000,0.000000,0.031285,0.067342,0.071249,
2,cube0,4214.682129,7586428,0.000400,0.000432,0.000001,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,4214.232422,7585618,0.012951,0.012951,0.000000,0.000000,0.000000,0.031350,0.067341,0.071249,
3,cube0,4214.567383,7586221,0.000456,0.000488,0.000001,0.000018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,4214.211426,7585581,0.012951,0.012951,0.000000,0.000000,0.000000,0.031209,0.067349,0.071249,
4,cube0,3164.517822,5696132,0.000282,0.000305,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,3164.162109,5695492,0.009713,0.009713,0.000000,0.000000,0.000000,0.023834,0.050525,0.053438,
5,cube0,3164.430664,5695975,0.000294,0.000317,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,3164.166748,5695500,0.009713,0.009713,0.000000,0.000000,0.000000,0.023866,0.050506,0.053438,
6,cube0,3164.212891,5695583,0.000295,0.000318,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,3163.930664,5695075,0.009713,0.009713,0.000000,0.000000,0.000000,0.023923,0.050507,0.053438,
7,cube0,3164.178223,5695521,0.000301,0.000325,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,3163.915527,5695048,0.009713,0.009713,0.000000,0.000000,0.000000,0.023940,0.050514,0.053438,
8,cube0,3162.332275,5692198,0.000309,0.000333,0.000000,0.000018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,3162.005615,5691610,0.009713,0.009713,0.000000,0.000000,0.000000,0.023357,0.050522,0.053438,
9,cube0,3162.286621,5692116,0.000265,0.000288,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,3161.857178,5691343,0.009713,0.009713,0.000000,0.000000,0.000000,0.023526,0.050513,0.053438,
10,cube0,3162.573975,5692633,0.000278,0.000302,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,3162.273438,5692092,0.009713,0.009713,0.000000,0.000000,0.000000,0.023502,0.050509,0.053438,
11,cube0,3162.658936,5692786,0.000288,0.000311,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,3162.279541,5692103,0.009713,0.009713,0.000000,0.000000,0.000000,0.023492,0.050510,0.053438,
12,cube0,3163.876709,5694978,0.000257,0.000280,0.000000,0.000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,3163.609375,5694497,0.009713,0.009713,0.000000,0.000000,0.000000,0.023934,0.050510,0.053438,
13,cube0,3163.863281,5694954,0.000284,0.000308,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,3163.524414,5694344,0.009713,0.009713,0.000000,0.000000,0.000000,0.023800,0.050515,0.053438,
14,cube0,3164.006592,5695212,0.000308,0.000331,0.000000,0.000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,3163.682861,5694629,0.009713,0.009713,0.000000,0.000000,0.000000,0.023836,0.050515,0.053438,
15,cube0,3163.876221,5694977,0.000283,0.000306,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,3163.476074,5694257,0.009713,0.009713,0.000000,0.000000,0.000000,0.023895,0.050510,0.053438,
16,cube0,3163.152832,5693675,0.000307,0.000331,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,3162.875488,5693176,0.009713,0.009713,0.000000,0.000000,0.000000,0.023611,0.050512,0.053438,
17,cube0,3163.052734,5693495,0.000291,0.000315,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,3162.673828,5692813,0.009713,0.009713,0.000000,0.000000,0.000000,0.023533,0.050512,0.053438,
18,cube0,3163.205078,5693769,0.000295,0.000319,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,3162.823975,5693083,0.009713,0.009713,0.000000,0.000000,0.000000,0.023636,0.050513,0.053438,
19,cube0,3163.127686,5693630,0.000336,0.000360,0.000000,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,3162.751709,5692953,0.009713,0.009713,0.000000,0.000000,0.000000,0.023621,0.050508,0.053438,
