block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,2229.190674,4012543,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2228.773438,4011792,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
1,cube0,2242.508789,4036516,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.078857,4035742,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
2,cube0,2244.207275,4039573,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2243.716553,4038690,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
3,cube0,2249.145996,4048463,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2248.685547,4047634,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
4,cube0,2252.618408,4054713,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252.033447,4053660,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
5,cube0,2254.571045,4058228,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2254.161621,4057491,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
6,cube0,2252.492676,4054487,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252.066650,4053720,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
7,cube0,2252.962158,4055332,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252.536621,4054566,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
8,cube0,2235.187744,4023338,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2234.702148,4022464,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
9,cube0,2229.593262,4013268,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2229.098389,4012377,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
10,cube0,2241.268311,4034283,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2240.827148,4033489,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
11,cube0,2241.560059,4034808,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2241.080078,4033944,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
12,cube0,2243.121094,4037618,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.726074,4036907,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
13,cube0,2247.064941,4044717,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2246.616699,4043910,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
14,cube0,2239.052246,4030294,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2238.582275,4029448,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
15,cube0,2247.750000,4045950,0.015094,0.015094,0.000000,1679360,205,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2247.256592,4045062,0.592976,0.314246,0.000000,0.000000,0.000000,0.278730,9715488,
16,cube0,2229.504883,4013109,0.015021,0.015021,0.000000,1671168,204,204,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2229.072754,4012331,0.590084,0.312714,0.000000,0.000000,0.000000,0.277370,9668096,
17,cube0,2231.741699,4017135,0.015021,0.015021,0.000000,1671168,204,204,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2231.257324,4016263,0.590084,0.312714,0.000000,0.000000,0.000000,0.277370,9668096,
18,cube0,2242.528809,4036552,0.015021,0.015021,0.000000,1671168,204,204,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.063232,4035714,0.590084,0.312714,0.000000,0.000000,0.000000,0.277370,9668096,
19,cube0,2242.540039,4036572,0.015021,0.015021,0.000000,1671168,204,204,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.070068,4035726,0.590084,0.312714,0.000000,0.000000,0.000000,0.277370,9668096,
