block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,2229.190674,4012543,7439,386,36635,26231,36647,26251,95.067093,58.269459,60.424885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2228.773438,4011792,618,6560,13636,126,13632,130,8.609640,99.069901,80.358482,
1,cube0,2242.508789,4036516,7439,386,36177,26249,36156,26232,95.067093,57.952633,60.142189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.078857,4035742,618,6560,13645,129,13623,127,8.609640,99.069901,80.358482,
2,cube0,2244.207275,4039573,7438,387,36513,26225,36482,26256,95.054314,58.174473,60.339382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2243.716553,4038690,618,6560,13586,137,13682,119,8.609640,99.069901,80.358482,
3,cube0,2249.145996,4048463,7439,386,36250,26229,36241,26252,95.067093,58.005795,60.189613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2248.685547,4047634,618,6560,13631,84,13722,87,8.609640,99.378723,80.603424,
4,cube0,2252.618408,4054713,7439,386,36211,26241,36137,26240,95.067093,57.957687,60.146698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252.033447,4053660,618,6560,13695,88,13655,86,8.609640,99.367821,80.594780,
5,cube0,2254.571045,4058228,7439,386,35702,26240,35837,26241,95.067093,57.683437,59.902157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2254.161621,4057491,618,6560,13617,134,13651,122,8.609640,99.069901,80.358482,
6,cube0,2252.492676,4054487,7439,386,36239,26249,36256,26232,95.067093,58.007137,60.190811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252.066650,4053720,618,6560,13649,132,13619,124,8.609640,99.069901,80.358482,
7,cube0,2252.962158,4055332,7438,387,35677,26258,35711,26223,95.054314,57.631851,59.855423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252.536621,4054566,618,6560,13656,129,13611,128,8.609640,99.066269,80.355598,
8,cube0,2235.187744,4023338,7439,386,36061,26239,36059,26242,95.067093,57.880756,60.078083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2234.702148,4022464,618,6560,13643,134,13622,125,8.609640,99.059006,80.349838,
9,cube0,2229.593262,4013268,7438,387,36560,26242,36562,26239,95.054314,58.216763,60.377132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2229.098389,4012377,618,6560,13625,135,13640,124,8.609640,99.059006,80.349838,
10,cube0,2241.268311,4034283,7440,385,36318,26236,36309,26245,95.079872,58.051445,60.231094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2240.827148,4033489,618,6560,13673,138,13592,121,8.609640,99.059006,80.349838,
11,cube0,2241.560059,4034808,7440,385,36621,26260,36660,26221,95.079872,58.269588,60.425789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2241.080078,4033944,618,6560,13567,126,13698,133,8.609640,99.059006,80.349838,
12,cube0,2243.121094,4037618,7439,386,35743,26241,35745,26240,95.067093,57.666031,59.886642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.726074,4036907,618,6560,13639,131,13627,127,8.609640,99.062637,80.352715,
13,cube0,2247.064941,4044717,7439,386,35878,26249,35896,26232,95.067093,57.763470,59.973499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2246.616699,4043910,618,6560,13628,128,13638,130,8.609640,99.062637,80.352715,
