block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,2229.190674,4012543,5.579411,5.572545,6.643022,1.447146,826,0.021811,825,0.054387,215,0.012369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15720.500000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2228.773438,4011792,1.418570,1.418622,1.453854,1.418675,1027,0.032749,822,0.048883,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
1,cube0,2242.508789,4036516,5.579411,5.572545,6.592841,1.447146,826,0.021811,825,0.057216,215,0.012903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15601.750000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.078857,4035742,1.418570,1.418622,1.453854,1.418675,1027,0.033443,822,0.049559,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
2,cube0,2244.207275,4039573,5.579411,5.572545,6.627809,1.447146,826,0.021811,825,0.057650,215,0.010981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15684.500000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2243.716553,4038690,1.418570,1.418622,1.453854,1.418675,1027,0.036448,822,0.050861,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
3,cube0,2249.145996,4048463,5.579411,5.572545,6.601187,1.447146,826,0.021811,825,0.061756,215,0.010691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15621.500000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2248.685547,4047634,1.418570,1.418622,1.453854,1.418675,1027,0.033680,822,0.051400,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
4,cube0,2252.618408,4054713,5.579411,5.572545,6.593634,1.447146,826,0.021811,825,0.059783,215,0.010770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15603.625000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252.033447,4053660,1.418570,1.418622,1.453854,1.418675,1027,0.036290,822,0.053490,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
5,cube0,2254.571045,4058228,5.579411,5.572545,6.550901,1.447146,826,0.021811,825,0.060886,215,0.011147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15502.500000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2254.161621,4057491,1.418570,1.418622,1.453854,1.418675,1027,0.032714,822,0.053874,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
6,cube0,2252.492676,4054487,5.579411,5.572545,6.601398,1.447146,826,0.021811,825,0.055618,215,0.011830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15622.000000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252.066650,4053720,1.418570,1.418622,1.453854,1.418675,1027,0.038537,822,0.051288,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
7,cube0,2252.962158,4055332,5.579411,5.572545,6.542925,1.447146,826,0.021811,825,0.056831,215,0.012293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15483.625000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252.536621,4054566,1.418570,1.418622,1.453854,1.418675,1027,0.034551,822,0.051543,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
8,cube0,2235.187744,4023338,5.579411,5.572545,6.581590,1.447146,826,0.021811,825,0.056521,215,0.012203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15575.125000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2234.702148,4022464,1.418570,1.418622,1.453854,1.418675,1027,0.032206,822,0.049036,3440.500000,3357.250000,NA,NA,NA,NA,NA,NA,NA,NA,3357.125000,0.644653,3357.000000,0.759406,
9,cube0,2229.593262,4013268,5.579411,5.572545,6.634517,1.447146,826,0.021811,825,0.054837,215,0.011606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15700.375000,3424.625000,13187.250000,2.110812,735.500000,0.155845,0.000000,0.000000,3280.000000,0.662159,NA,NA,NA,NA,
