block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,2229.190674,4012543,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2228.773438,4011792,
1,cube0,2242.508789,4036516,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2242.078857,4035742,
2,cube0,2244.207275,4039573,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2243.716553,4038690,
3,cube0,2249.145996,4048463,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2248.685547,4047634,
4,cube0,2252.618408,4054713,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2252.033447,4053660,
5,cube0,2254.571045,4058228,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2254.161621,4057491,
6,cube0,2252.492676,4054487,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2252.066650,4053720,
7,cube0,2252.962158,4055332,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2252.536621,4054566,
8,cube0,2235.187744,4023338,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2234.702148,4022464,
9,cube0,2229.593262,4013268,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2229.098389,4012377,
10,cube0,2241.268311,4034283,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2240.827148,4033489,
11,cube0,2241.560059,4034808,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2241.080078,4033944,
12,cube0,2243.121094,4037618,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2242.726074,4036907,
13,cube0,2247.064941,4044717,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2246.616699,4043910,
14,cube0,2239.052246,4030294,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2238.582275,4029448,
15,cube0,2247.750000,4045950,2.772063,2.772063,11.088253,2.772063,0.000000,1.386032,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2247.256592,4045062,
16,cube0,2229.504883,4013109,2.758541,2.758541,11.034164,2.758541,0.000000,1.379271,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2229.072754,4012331,
17,cube0,2231.741699,4017135,2.758541,2.758541,11.034164,2.758541,0.000000,1.379271,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2231.257324,4016263,
18,cube0,2242.528809,4036552,2.758541,2.758541,11.034164,2.758541,0.000000,1.379271,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2242.063232,4035714,
19,cube0,2242.540039,4036572,2.758541,2.758541,11.034164,2.758541,0.000000,1.379271,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,2242.070068,4035726,
