block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,2229.190674,4012543,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,2228.773438,4011792,18.040068,12.539255,0.173280,0.029824,
1,cube0,2242.508789,4036516,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,2242.078857,4035742,18.040068,12.539255,0.173280,0.029824,
2,cube0,2244.207275,4039573,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,2243.716553,4038690,18.040068,12.539255,0.173280,0.029824,
3,cube0,2249.145996,4048463,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,2248.685547,4047634,18.040068,12.539255,0.173280,0.029824,
4,cube0,2252.618408,4054713,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,2252.033447,4053660,18.040068,12.539255,0.173280,0.029824,
5,cube0,2254.571045,4058228,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,2254.161621,4057491,18.040068,12.539255,0.173280,0.029824,
6,cube0,2252.492676,4054487,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,2252.066650,4053720,18.040068,12.539255,0.173280,0.029824,
7,cube0,2252.962158,4055332,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,2252.536621,4054566,18.040068,12.539255,0.173280,0.029824,
8,cube0,2235.187744,4023338,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,2234.702148,4022464,18.040068,12.539255,0.173280,0.029824,
9,cube0,2229.593262,4013268,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,2229.098389,4012377,18.040068,12.539255,0.173280,0.029824,
10,cube0,2241.268311,4034283,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,2240.827148,4033489,18.040068,12.539255,0.173280,0.029824,
11,cube0,2241.560059,4034808,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,2241.080078,4033944,18.040068,12.539255,0.173280,0.029824,
12,cube0,2243.121094,4037618,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,2242.726074,4036907,18.040068,12.539255,0.173280,0.029824,
13,cube0,2247.064941,4044717,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,2246.616699,4043910,18.040068,12.539255,0.173280,0.029824,
14,cube0,2239.052246,4030294,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,2238.582275,4029448,18.040068,12.539255,0.173280,0.029824,
15,cube0,2247.750000,4045950,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,2247.256592,4045062,18.040068,12.539255,0.173280,0.029824,
16,cube0,2229.504883,4013109,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,2229.072754,4012331,17.952066,12.478087,0.172435,0.029679,
17,cube0,2231.741699,4017135,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,2231.257324,4016263,17.952066,12.478087,0.172435,0.029679,
18,cube0,2242.528809,4036552,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,2242.063232,4035714,17.952066,12.478087,0.172435,0.029679,
19,cube0,2242.540039,4036572,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,2242.070068,4035726,17.952066,12.478087,0.172435,0.029679,
