block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id15_time(us),
0,cube0,2229.190674,4012543,34.052776,0.015094,49.205002,0.021811,122.697220,0.054387,27.903889,0.012369,25.137266,136.342224,0.060435,22.942650,0.000000,2185.587158,0.968789,80.842224,123.061668,0.000000,0.000000,0.000000,0.000000,107.841667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2228.773438,4011792,1337.754395,0.592976,73.882774,0.032749,43.333565,110.279999,0.048883,29.030512,0.000000,729.625000,0.323415,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,183.952774,411.415558,0.000000,
1,cube0,2242.508789,4036516,34.052776,0.015094,49.205002,0.021811,129.079437,0.057216,29.109444,0.012903,24.096216,142.242783,0.063051,21.990934,0.000000,2199.977783,0.975167,78.768890,119.433334,0.000000,0.000000,0.000000,0.000000,103.751114,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2242.078857,4035742,1337.754395,0.592976,75.448334,0.033443,42.434391,111.806114,0.049559,28.634254,0.000000,730.483337,0.323796,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,178.301666,416.139435,0.000000,
2,cube0,2244.207275,4039573,34.052776,0.015094,49.205002,0.021811,130.057785,0.057650,24.772223,0.010981,28.315081,145.741669,0.064602,21.462988,0.000000,2201.132812,0.975679,80.000000,121.587776,0.000000,0.000000,0.000000,0.000000,107.046669,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2243.716553,4038690,1337.754395,0.592976,82.227776,0.036448,38.935795,114.742775,0.050861,27.901405,0.000000,734.657776,0.325646,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,193.564438,406.779999,0.000000,
3,cube0,2249.145996,4048463,34.052776,0.015094,49.205002,0.021811,139.322220,0.061756,24.117777,0.010691,29.083422,154.041107,0.068281,20.306604,0.000000,2206.883301,0.978228,78.842224,119.561668,0.000000,0.000000,0.000000,0.000000,104.762779,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2248.685547,4047634,1337.754395,0.592976,75.981667,0.033680,42.136532,115.958885,0.051400,27.608791,0.000000,732.950562,0.324889,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,190.589996,414.852783,0.000000,
4,cube0,2252.618408,4054713,34.052776,0.015094,49.205002,0.021811,134.869995,0.059783,24.297222,0.010770,28.868629,146.015549,0.064723,21.422731,0.000000,2211.464355,0.980259,78.522224,119.001663,0.000000,0.000000,0.000000,0.000000,103.050003,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2252.033447,4053660,1337.754395,0.592976,81.870003,0.036290,39.105949,120.672775,0.053490,26.530300,0.000000,737.444458,0.326881,202.550552,149.020004,0.000000,0.000000,0.000000,1034.087280,8.547222,179.460007,411.587769,0.000000,
