block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,2229.190674,4012543,0.058450,0.051794,0.000050,0.005818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,2228.773438,4011792,0.009693,0.009693,0.000000,0.000000,0.000000,0.033601,0.015324,0.054876,
1,cube0,2242.508789,4036516,0.061288,0.054632,0.000050,0.005295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,2242.078857,4035742,0.009693,0.009693,0.000000,0.000000,0.000000,0.033691,0.015663,0.054876,
2,cube0,2244.207275,4039573,0.061747,0.055091,0.000050,0.007195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,2243.716553,4038690,0.009693,0.009693,0.000000,0.000000,0.000000,0.036745,0.018203,0.054875,
3,cube0,2249.145996,4048463,0.065857,0.059201,0.000050,0.006928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,2248.685547,4047634,0.009693,0.009693,0.000000,0.000000,0.000000,0.033992,0.015479,0.054876,
4,cube0,2252.618408,4054713,0.063876,0.057219,0.000050,0.006242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,2252.033447,4053660,0.009693,0.009693,0.000000,0.000000,0.000000,0.036603,0.019875,0.054876,
5,cube0,2254.571045,4058228,0.064986,0.058330,0.000050,0.006335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,2254.161621,4057491,0.009693,0.009693,0.000000,0.000000,0.000000,0.033027,0.015245,0.054876,
6,cube0,2252.492676,4054487,0.059687,0.053031,0.000050,0.006301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,2252.066650,4053720,0.009693,0.009693,0.000000,0.000000,0.000000,0.039078,0.021228,0.054876,
7,cube0,2252.962158,4055332,0.060912,0.054255,0.000050,0.009217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
