block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,572.385010,1030293,0.002643,0.002643,0.000000,131072,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.994446,1029590,0.726350,0.384910,0.000000,0.000000,0.000000,0.341439,3033216,
1,cube0,572.478333,1030461,0.002643,0.002643,0.000000,131072,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.014465,1029626,0.726350,0.384910,0.000000,0.000000,0.000000,0.341439,3033216,
2,cube0,572.854431,1031138,0.002643,0.002643,0.000000,131072,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.506104,1030511,0.726350,0.384910,0.000000,0.000000,0.000000,0.341439,3033216,
3,cube0,572.632202,1030738,0.002643,0.002643,0.000000,131072,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.184998,1029933,0.726350,0.384910,0.000000,0.000000,0.000000,0.341439,3033216,
4,cube0,572.941650,1031295,0.002643,0.002643,0.000000,131072,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.567200,1030621,0.726350,0.384910,0.000000,0.000000,0.000000,0.341439,3033216,
5,cube0,572.804993,1031049,0.002643,0.002643,0.000000,131072,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.342773,1030217,0.726350,0.384910,0.000000,0.000000,0.000000,0.341439,3033216,
6,cube0,573.033325,1031460,0.002643,0.002643,0.000000,131072,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.645569,1030762,0.726350,0.384910,0.000000,0.000000,0.000000,0.341439,3033216,
7,cube0,572.748901,1030948,0.002643,0.002643,0.000000,131072,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.272766,1030091,0.726350,0.384910,0.000000,0.000000,0.000000,0.341439,3033216,
8,cube0,573.032776,1031459,0.002643,0.002643,0.000000,131072,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.582214,1030648,0.726350,0.384910,0.000000,0.000000,0.000000,0.341439,3033216,
9,cube0,572.635010,1030743,0.002643,0.002643,0.000000,131072,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.265564,1030078,0.726350,0.384910,0.000000,0.000000,0.000000,0.341439,3033216,
10,cube0,572.779419,1031003,0.002643,0.002643,0.000000,131072,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.318359,1030173,0.726350,0.384910,0.000000,0.000000,0.000000,0.341439,3033216,
11,cube0,572.771118,1030988,0.002643,0.002643,0.000000,131072,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
