block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,572.385010,1030293,257,386,3973,897,3947,898,39.968895,81.523415,78.943810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.994446,1029590,51,2048,1146,28,1135,31,2.429729,97.478630,52.534355,
1,cube0,572.478333,1030461,258,385,4633,127,4634,128,40.124416,97.321991,93.703888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.014465,1029626,51,2048,1164,20,1133,23,2.429729,98.162392,52.894794,
2,cube0,572.854431,1031138,258,385,4257,511,4276,514,40.124416,89.276001,86.177826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.506104,1030511,51,2048,1107,37,1162,34,2.429729,96.965813,52.264023,
3,cube0,572.632202,1030738,258,385,4284,512,4263,513,40.124416,89.291687,86.196770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.184998,1029933,51,2048,1138,39,1118,45,2.429729,96.410255,51.971165,
4,cube0,572.941650,1031295,258,385,3997,703,4015,706,40.124416,85.044052,82.174088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.567200,1030621,51,2048,1170,18,1134,18,2.429729,98.461540,53.052490,
5,cube0,572.804993,1031049,258,385,4324,321,4326,320,40.124416,93.100853,89.671837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.342773,1030217,51,2048,1162,11,1156,11,2.429729,99.059830,53.367874,
6,cube0,573.033325,1031460,258,385,4143,578,4147,575,40.124416,87.789894,84.751137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.645569,1030762,51,2048,1142,22,1157,19,2.429729,98.247864,52.939850,
7,cube0,572.748901,1030948,257,386,4194,448,4194,449,39.968895,90.339256,87.076958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.272766,1030091,51,2048,1150,23,1142,25,2.429729,97.948715,52.782158,
