block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,572.385010,1030293,0.908076,0.881161,2.011390,0.467910,70,0.003719,69,0.014982,26,0.005085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214.375000,282.500000,532.000000,0.333773,74.000000,0.061459,0.000000,0.000000,256.000000,0.202569,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.994446,1029590,1.706214,0.470808,0.484473,1.706628,274,0.028529,114,0.030297,292.500000,1030.375000,NA,NA,NA,NA,NA,NA,NA,NA,284.250000,0.213945,1030.125000,0.913391,
1,cube0,572.478333,1030461,0.908076,0.881161,1.971431,0.467910,70,0.003725,69,0.013003,26,0.004603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190.250000,282.500000,532.000000,0.333773,74.000000,0.061459,0.000000,0.000000,256.000000,0.202569,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.014465,1029626,1.706214,0.470808,0.484473,1.706628,274,0.028421,114,0.031677,292.500000,1030.375000,NA,NA,NA,NA,NA,NA,NA,NA,284.250000,0.213945,1030.125000,0.913391,
2,cube0,572.854431,1031138,0.908076,0.881161,1.978885,0.467910,70,0.003723,69,0.013812,26,0.003857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194.750000,282.500000,532.000000,0.333773,74.000000,0.061459,0.000000,0.000000,256.000000,0.202569,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.506104,1030511,1.706214,0.470808,0.484473,1.706628,274,0.035743,114,0.032098,292.500000,1030.375000,NA,NA,NA,NA,NA,NA,NA,NA,284.250000,0.213945,1030.125000,0.913391,
3,cube0,572.632202,1030738,0.908076,0.881161,1.981783,0.467910,70,0.003720,69,0.014318,26,0.003903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1196.500000,282.500000,532.000000,0.333773,74.000000,0.061459,0.000000,0.000000,256.000000,0.202569,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.184998,1029933,1.706214,0.470808,0.484473,1.706628,274,0.034280,114,0.029626,292.500000,1030.375000,NA,NA,NA,NA,NA,NA,NA,NA,284.250000,0.213945,1030.125000,0.913391,
4,cube0,572.941650,1031295,0.908076,0.881161,1.950520,0.467910,70,0.003724,69,0.013623,26,0.008047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1177.625000,282.500000,532.000000,0.333773,74.000000,0.061459,0.000000,0.000000,256.000000,0.202569,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.567200,1030621,1.706214,0.470808,0.484473,1.706628,274,0.028485,114,0.032512,292.500000,1030.375000,NA,NA,NA,NA,NA,NA,NA,NA,284.250000,0.213945,1030.125000,0.913391,
5,cube0,572.804993,1031049,0.908076,0.881161,1.923605,0.467910,70,0.003726,69,0.012502,26,0.007281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1161.375000,282.500000,532.000000,0.333773,74.000000,0.061459,0.000000,0.000000,256.000000,0.202569,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.342773,1030217,1.706214,0.470808,0.484473,1.706628,274,0.030449,114,0.032823,292.500000,1030.375000,NA,NA,NA,NA,NA,NA,NA,NA,284.250000,0.213945,1030.125000,0.913391,
6,cube0,573.033325,1031460,0.908076,0.881161,1.955075,0.467910,70,0.003723,69,0.014015,26,0.007451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1180.375000,282.500000,532.000000,0.333773,74.000000,0.061459,0.000000,0.000000,256.000000,0.202569,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.645569,1030762,1.706214,0.470808,0.484473,1.706628,274,0.030416,114,0.034012,292.500000,1030.375000,NA,NA,NA,NA,NA,NA,NA,NA,284.250000,0.213945,1030.125000,0.913391,
7,cube0,572.748901,1030948,0.908076,0.881161,1.922363,0.467910,70,0.003721,69,0.013674,26,0.006996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160.625000,282.500000,532.000000,0.333773,74.000000,0.061459,0.000000,0.000000,256.000000,0.202569,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.272766,1030091,1.706214,0.470808,0.484473,1.706628,274,0.029983,114,0.033394,292.500000,1030.375000,NA,NA,NA,NA,NA,NA,NA,NA,284.250000,0.213945,1030.125000,0.913391,
8,cube0,573.032776,1031459,0.908076,0.881161,1.980541,0.467910,70,0.003720,69,0.014488,26,0.004083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1195.750000,282.500000,532.000000,0.333773,74.000000,0.061459,0.000000,0.000000,256.000000,0.202569,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.582214,1030648,1.706214,0.470808,0.484473,1.706628,274,0.035180,114,0.031018,292.500000,1030.375000,NA,NA,NA,NA,NA,NA,NA,NA,284.250000,0.213945,1030.125000,0.913391,
9,cube0,572.635010,1030743,0.908076,0.881161,1.974123,0.467910,70,0.003724,69,0.013275,26,0.003873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1191.875000,282.500000,532.000000,0.333773,74.000000,0.061459,0.000000,0.000000,256.000000,0.202569,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.265564,1030078,1.706214,0.470808,0.484473,1.706628,274,0.034864,114,0.031729,292.500000,1030.375000,NA,NA,NA,NA,NA,NA,NA,NA,284.250000,0.213945,1030.125000,0.913391,
10,cube0,572.779419,1031003,0.908076,0.881161,2.019258,0.467910,70,0.003723,69,0.013888,26,0.003671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1219.125000,282.500000,532.000000,0.333773,74.000000,0.061459,0.000000,0.000000,256.000000,0.202569,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.318359,1030173,1.706214,0.470808,0.484473,1.706628,274,0.035299,114,0.031056,292.500000,1030.375000,NA,NA,NA,NA,NA,NA,NA,NA,284.250000,0.213945,1030.125000,0.913391,
11,cube0,572.771118,1030988,0.908076,0.881161,1.970189,0.467910,70,0.003724,69,0.012999,26,0.003547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189.500000,282.500000,532.000000,0.333773,74.000000,0.061459,0.000000,0.000000,256.000000,0.202569,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.346680,1030224,1.706214,0.470808,0.484473,1.706628,274,0.035005,114,0.030295,292.500000,1030.375000,NA,NA,NA,NA,NA,NA,NA,NA,284.250000,0.213945,1030.125000,0.913391,
12,cube0,564.692200,1016446,0.881575,0.854660,1.910976,0.448034,70,0.003627,69,0.014770,26,0.007086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1153.750000,270.500000,516.000000,0.323735,74.000000,0.061459,0.000000,0.000000,244.000000,0.193073,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.223877,1015603,1.653211,0.469566,0.483023,1.653626,274,0.029171,114,0.033411,291.625000,998.375000,NA,NA,NA,NA,NA,NA,NA,NA,283.500000,0.213381,998.125000,0.885017,
13,cube0,565.159424,1017287,0.881575,0.854660,1.858388,0.448034,70,0.003633,69,0.013314,26,0.006328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1122.000000,270.500000,516.000000,0.323735,74.000000,0.061459,0.000000,0.000000,244.000000,0.193073,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.690002,1016442,1.653211,0.469566,0.483023,1.653626,274,0.028545,114,0.032568,291.625000,998.375000,NA,NA,NA,NA,NA,NA,NA,NA,283.500000,0.213381,998.125000,0.885017,
14,cube0,537.878357,968181,0.854660,0.827744,1.820707,0.440373,66,0.003489,65,0.013183,25,0.006475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1099.250000,265.875000,499.750000,0.313540,70.500000,0.058552,0.000000,0.000000,240.000000,0.189908,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.355530,967240,1.599588,0.441409,0.454245,1.600002,257,0.030185,107,0.029987,274.250000,966.000000,NA,NA,NA,NA,NA,NA,NA,NA,266.500000,0.200586,965.750000,0.856311,
15,cube0,537.901123,968222,0.854660,0.827744,1.821742,0.440373,66,0.003490,65,0.014321,25,0.006750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1099.875000,265.875000,499.750000,0.313540,70.500000,0.058552,0.000000,0.000000,240.000000,0.189908,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.409973,967338,1.599588,0.441409,0.454245,1.600002,257,0.030767,107,0.031554,274.250000,966.000000,NA,NA,NA,NA,NA,NA,NA,NA,266.500000,0.200586,965.750000,0.856311,
