block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,572.385010,1030293,0.424017,0.424017,1.696069,0.424017,0.000000,0.424017,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,571.994446,1029590,
1,cube0,572.478333,1030461,0.424017,0.424017,1.696069,0.424017,0.000000,0.424017,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,572.014465,1029626,
2,cube0,572.854431,1031138,0.424017,0.424017,1.696069,0.424017,0.000000,0.424017,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,572.506104,1030511,
3,cube0,572.632202,1030738,0.424017,0.424017,1.696069,0.424017,0.000000,0.424017,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,572.184998,1029933,
4,cube0,572.941650,1031295,0.424017,0.424017,1.696069,0.424017,0.000000,0.424017,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,572.567200,1030621,
5,cube0,572.804993,1031049,0.424017,0.424017,1.696069,0.424017,0.000000,0.424017,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,572.342773,1030217,
6,cube0,573.033325,1031460,0.424017,0.424017,1.696069,0.424017,0.000000,0.424017,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,572.645569,1030762,
7,cube0,572.748901,1030948,0.424017,0.424017,1.696069,0.424017,0.000000,0.424017,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,572.272766,1030091,
8,cube0,573.032776,1031459,0.424017,0.424017,1.696069,0.424017,0.000000,0.424017,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,572.582214,1030648,
9,cube0,572.635010,1030743,0.424017,0.424017,1.696069,0.424017,0.000000,0.424017,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,572.265564,1030078,
10,cube0,572.779419,1031003,0.424017,0.424017,1.696069,0.424017,0.000000,0.424017,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,572.318359,1030173,
11,cube0,572.771118,1030988,0.424017,0.424017,1.696069,0.424017,0.000000,0.424017,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,572.346680,1030224,
12,cube0,564.692200,1016446,0.410767,0.410767,1.616565,0.410767,0.000000,0.404141,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,564.223877,1015603,
13,cube0,565.159424,1017287,0.410767,0.410767,1.616565,0.410767,0.000000,0.404141,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,564.690002,1016442,
14,cube0,537.878357,968181,0.397516,0.397516,1.590064,0.397516,0.000000,0.397516,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,537.355530,967240,
15,cube0,537.901123,968222,0.397516,0.397516,1.590064,0.397516,0.000000,0.397516,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,537.409973,967338,
16,cube0,537.909424,968237,0.397516,0.397516,1.590064,0.397516,0.000000,0.397516,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,537.501648,967503,
17,cube0,537.869995,968166,0.397516,0.397516,1.590064,0.397516,0.000000,0.397516,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,537.472229,967450,
18,cube0,538.068909,968524,0.397516,0.397516,1.590064,0.397516,0.000000,0.397516,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,537.571106,967628,
19,cube0,537.813904,968065,0.397516,0.397516,1.590064,0.397516,0.000000,0.397516,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,537.356689,967242,
