block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,572.385010,1030293,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,571.994446,1029590,22.075394,15.344122,0.212112,0.009291,
1,cube0,572.478333,1030461,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,572.014465,1029626,22.075394,15.344122,0.212112,0.009291,
2,cube0,572.854431,1031138,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,572.506104,1030511,22.075394,15.344122,0.212112,0.009291,
3,cube0,572.632202,1030738,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,572.184998,1029933,22.075394,15.344122,0.212112,0.009291,
4,cube0,572.941650,1031295,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,572.567200,1030621,22.075394,15.344122,0.212112,0.009291,
5,cube0,572.804993,1031049,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,572.342773,1030217,22.075394,15.344122,0.212112,0.009291,
6,cube0,573.033325,1031460,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,572.645569,1030762,22.075394,15.344122,0.212112,0.009291,
7,cube0,572.748901,1030948,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,572.272766,1030091,22.075394,15.344122,0.212112,0.009291,
8,cube0,573.032776,1031459,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,572.582214,1030648,22.075394,15.344122,0.212112,0.009291,
9,cube0,572.635010,1030743,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,572.265564,1030078,22.075394,15.344122,0.212112,0.009291,
10,cube0,572.779419,1031003,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,572.318359,1030173,22.075394,15.344122,0.212112,0.009291,
11,cube0,572.771118,1030988,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,572.346680,1030224,22.075394,15.344122,0.212112,0.009291,
12,cube0,564.692200,1016446,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,564.223877,1015603,21.821978,15.145365,0.205487,0.016537,
13,cube0,565.159424,1017287,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,564.690002,1016442,21.821978,15.145365,0.205487,0.016537,
14,cube0,537.878357,968181,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,537.355530,967240,20.695683,14.385114,0.198862,0.008722,
15,cube0,537.901123,968222,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,537.409973,967338,20.695683,14.385114,0.198862,0.008722,
16,cube0,537.909424,968237,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,537.501648,967503,20.695683,14.385114,0.198862,0.008722,
17,cube0,537.869995,968166,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,537.472229,967450,20.695683,14.385114,0.198862,0.008722,
18,cube0,538.068909,968524,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,537.571106,967628,20.695683,14.385114,0.198862,0.008722,
19,cube0,537.813904,968065,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,537.356689,967242,20.695683,14.385114,0.198862,0.008722,
