block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id15_time(us),
0,cube0,572.385010,1030293,1.520000,0.002643,2.138333,0.003719,8.614445,0.014982,2.923889,0.005085,24.136314,6.795000,0.011817,35.929447,0.000000,559.931641,0.973794,21.547222,22.166111,0.000000,0.000000,0.000000,0.000000,26.483889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.994446,1029590,417.651123,0.726350,16.404444,0.028529,16.524908,17.420555,0.030297,56.393368,0.000000,200.039993,0.347896,60.198891,42.717777,0.000000,0.000000,0.000000,322.786102,0.929444,52.849998,33.082222,0.000000,
1,cube0,572.478333,1030461,1.520000,0.002643,2.141667,0.003725,7.476666,0.013003,2.646667,0.004603,26.664444,5.793334,0.010075,42.141647,0.000000,560.485535,0.974757,20.883888,21.502777,0.000000,0.000000,0.000000,0.000000,25.623333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.014465,1029626,417.651123,0.726350,16.342222,0.028421,16.587826,18.214445,0.031677,53.935421,0.000000,200.074448,0.347956,60.198891,42.717777,0.000000,0.000000,0.000000,322.786102,0.929444,54.727779,31.383888,0.000000,
2,cube0,572.854431,1031138,1.520000,0.002643,2.140556,0.003723,7.941667,0.013812,2.217778,0.003857,31.820997,6.221667,0.010820,39.240391,0.000000,560.704468,0.975138,21.013889,21.632778,0.000000,0.000000,0.000000,0.000000,25.742222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.506104,1030511,417.651123,0.726350,20.552221,0.035743,13.189909,18.456112,0.032098,53.229183,0.000000,201.607773,0.350622,60.198891,42.717777,0.000000,0.000000,0.000000,322.786102,0.929444,54.096111,30.266666,0.000000,
3,cube0,572.632202,1030738,1.520000,0.002643,2.138889,0.003720,8.232778,0.014318,2.244444,0.003903,31.442924,6.544445,0.011382,37.305016,0.000000,560.498901,0.974781,21.073889,21.692778,0.000000,0.000000,0.000000,0.000000,25.801666,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.184998,1029933,417.651123,0.726350,19.711111,0.034280,13.752747,17.035000,0.029626,57.669724,0.000000,202.146667,0.351559,60.198891,42.717777,0.000000,0.000000,0.000000,322.786102,0.929444,54.118889,28.856667,0.000000,
4,cube0,572.941650,1031295,1.520000,0.002643,2.141111,0.003724,7.833333,0.013623,4.627222,0.008047,15.251461,5.807778,0.010100,42.036839,0.000000,558.800537,0.971827,20.527222,21.146111,0.000000,0.000000,0.000000,0.000000,25.099445,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.567200,1030621,417.651123,0.726350,16.378889,0.028485,16.550690,18.694445,0.032512,52.550571,0.000000,201.718338,0.350814,60.198891,42.717777,0.000000,0.000000,0.000000,322.786102,0.929444,51.723331,28.710556,0.000000,
