block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,572.385010,1030293,0.013151,0.014077,0.000015,0.000356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,571.994446,1029590,0.011872,0.011872,0.000000,0.000000,0.000000,0.032608,0.052329,0.065785,
1,cube0,572.478333,1030461,0.011172,0.012099,0.000015,0.000489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,572.014465,1029626,0.011872,0.011872,0.000000,0.000000,0.000000,0.032420,0.052391,0.065785,
2,cube0,572.854431,1031138,0.011986,0.012913,0.000015,0.000590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,572.506104,1030511,0.011872,0.011872,0.000000,0.000000,0.000000,0.034362,0.052022,0.065785,
3,cube0,572.632202,1030738,0.012493,0.013419,0.000015,0.000579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,572.184998,1029933,0.011872,0.011872,0.000000,0.000000,0.000000,0.032826,0.051436,0.065785,
4,cube0,572.941650,1031295,0.011792,0.012719,0.000015,0.000704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,572.567200,1030621,0.011872,0.011872,0.000000,0.000000,0.000000,0.031929,0.051348,0.065785,
5,cube0,572.804993,1031049,0.010666,0.011592,0.000015,0.000946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,572.342773,1030217,0.011872,0.011872,0.000000,0.000000,0.000000,0.033190,0.051254,0.065785,
6,cube0,573.033325,1031460,0.012179,0.013105,0.000015,0.000243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,572.645569,1030762,0.011872,0.011872,0.000000,0.000000,0.000000,0.032187,0.051215,0.065785,
7,cube0,572.748901,1030948,0.011826,0.012753,0.000015,0.000412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,572.272766,1030091,0.011872,0.011872,0.000000,0.000000,0.000000,0.031299,0.051085,0.065785,
8,cube0,573.032776,1031459,0.012663,0.013589,0.000015,0.000670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,572.582214,1030648,0.011872,0.011872,0.000000,0.000000,0.000000,0.035188,0.051252,0.065785,
9,cube0,572.635010,1030743,0.011443,0.012370,0.000015,0.000670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,572.265564,1030078,0.011872,0.011872,0.000000,0.000000,0.000000,0.034623,0.051156,0.065785,
10,cube0,572.779419,1031003,0.012069,0.012995,0.000015,0.000357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,572.318359,1030173,0.011872,0.011872,0.000000,0.000000,0.000000,0.034842,0.051173,0.065785,
11,cube0,572.771118,1030988,0.011151,0.012077,0.000015,0.000373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,572.346680,1030224,0.011872,0.011872,0.000000,0.000000,0.000000,0.034176,0.051117,0.065785,
12,cube0,564.692200,1016446,0.012846,0.013866,0.000015,0.000421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,564.223877,1015603,0.011625,0.011625,0.000000,0.000000,0.000000,0.030245,0.049435,0.063489,
13,cube0,565.159424,1017287,0.011385,0.012404,0.000015,0.000190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,564.690002,1016442,0.011625,0.011625,0.000000,0.000000,0.000000,0.031041,0.049400,0.063490,
14,cube0,537.878357,968181,0.011464,0.012332,0.000014,0.000223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,537.355530,967240,0.011130,0.011130,0.000000,0.000000,0.000000,0.030314,0.047949,0.061673,
15,cube0,537.901123,968222,0.012619,0.013488,0.000014,0.000205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,537.409973,967338,0.011130,0.011130,0.000000,0.000000,0.000000,0.030697,0.047787,0.061673,
16,cube0,537.909424,968237,0.011783,0.012651,0.000014,0.000358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,537.501648,967503,0.011130,0.011130,0.000000,0.000000,0.000000,0.032408,0.047750,0.061673,
17,cube0,537.869995,968166,0.011177,0.012045,0.000014,0.000402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,537.472229,967450,0.011130,0.011130,0.000000,0.000000,0.000000,0.032307,0.048025,0.061687,
18,cube0,538.068909,968524,0.010455,0.011324,0.000014,0.000370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,537.571106,967628,0.011130,0.011130,0.000000,0.000000,0.000000,0.033241,0.048051,0.061687,
19,cube0,537.813904,968065,0.011590,0.012459,0.000014,0.000327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,537.356689,967242,0.011130,0.011130,0.000000,0.000000,0.000000,0.032559,0.047744,0.061673,
