pid,logical_core,lane,start_us,wait_start_us,wait_duration_us,wait_end_us,first_copyin_us,vector_math_start_us,vector_math_end_us,vector_math_window_us,copyout_start_us,copyout_end_us,end_us,init_before_wait_us,post_wait_to_math_us,tail_after_math_us
core0.veccore0,0,0,22.708,23.797001,16.507,40.304001,41.144001,42.558998,63.100001,20.541003,45.676998,60.793001,63.227002,1.089001,2.254997,0.127
core0.veccore1,0,1,22.709,23.798,16.506001,40.304001,41.143002,42.556,63.133999,20.577999,45.667999,60.633,63.224999,1.089001,2.251999,0.091
core1.veccore0,1,0,22.709999,23.798,16.506001,40.304001,41.146999,42.553001,63.079998,20.526997,45.655998,60.499999,63.222001,1.088001,2.249001,0.142002
core1.veccore1,1,1,22.711,23.801001,16.502001,40.303001,41.143002,42.553001,63.000998,20.447997,45.674,60.641,63.225998,1.09,2.25,0.225
core2.veccore0,2,0,22.712,23.804001,16.499001,40.303001,41.145,42.557999,61.788999,19.231,45.676998,62.214999,63.225999,1.092001,2.254997,1.437
core2.veccore1,2,1,22.712999,23.802999,16.500999,40.303999,41.141998,42.556,61.786001,19.230001,45.674999,62.203,63.225,1.09,2.252001,1.438999
core3.veccore0,3,0,22.714001,23.805,16.497999,40.302999,41.140999,42.556,63.041999,20.485999,45.674999,60.481999,63.227002,1.091,2.253,0.185003
core3.veccore1,3,1,22.716,23.808001,16.496,40.304001,41.143002,42.557999,63.099002,20.541003,45.679001,60.644002,63.225998,1.092001,2.253998,0.126997
core4.veccore0,4,0,22.716999,23.802999,16.5,40.302999,41.144001,42.556999,63.002002,20.445002,45.668999,60.644002,63.225998,1.086,2.254,0.223997
core4.veccore1,4,1,22.718,23.806999,16.497,40.303999,41.143002,42.558998,63.081001,20.522003,45.672001,60.481999,63.223,1.088999,2.254999,0.141999
core5.veccore0,5,0,22.719,23.806999,16.497,40.303999,41.144001,42.558998,63.099002,20.540004,45.667999,60.761002,63.227002,1.087999,2.254999,0.128
core5.veccore1,5,1,22.719999,23.806999,16.496,40.302999,41.141998,42.557999,63.000999,20.443,45.68,61.93,63.224,1.087,2.254999,0.223001
core6.veccore0,6,0,22.721001,23.806,16.497,40.302999,41.143002,42.557999,63.019001,20.461002,45.667999,61.980001,63.226,1.084999,2.254999,0.206999
core6.veccore1,6,1,22.722,23.811001,16.492001,40.303001,41.146,42.558998,63.02,20.461002,45.681,61.992,63.225998,1.089001,2.255997,0.205999
core7.veccore0,7,0,22.723,23.819,16.483999,40.302999,41.146,42.556999,63.080001,20.523002,45.678001,62.072999,63.224999,1.096001,2.254,0.144998
core7.veccore1,7,1,22.724001,23.818001,16.485001,40.303001,41.144001,42.554001,63.062,20.507999,45.667999,62.072999,63.227002,1.094,2.250999,0.165002
core8.veccore0,8,0,22.726,23.827999,16.476,40.303999,41.146999,42.557999,63.019001,20.461002,45.68,61.980001,63.226,1.101999,2.254,0.206999
core8.veccore1,8,1,22.726999,23.825001,16.478001,40.303001,41.147999,42.556,63.019001,20.463001,45.667999,61.992,63.226,1.098001,2.252998,0.206999
core9.veccore0,9,0,22.728001,23.827,16.476,40.302999,41.145,42.554001,63.017002,20.463001,45.664001,61.986001,63.227002,1.098999,2.251001,0.21
core9.veccore1,9,1,22.728001,23.829,16.474001,40.303001,41.144001,42.557999,63.018001,20.460002,45.678001,61.987,63.227002,1.101,2.254997,0.209001
core10.veccore0,10,0,22.729,23.832001,16.472,40.304001,41.146999,42.558998,63.041001,20.482002,45.673,60.481999,63.222001,1.103001,2.254997,0.181
core10.veccore1,10,1,22.729,23.833,16.469999,40.302999,41.141998,42.556999,63.005,20.448001,45.674999,60.644002,63.226,1.104,2.254,0.221
core11.veccore0,11,0,22.73,23.829,16.474001,40.303001,41.144001,42.556999,63.132,20.575001,45.664001,60.634999,63.223,1.099001,2.253998,0.091
core11.veccore1,11,1,22.731001,23.827999,16.475,40.302999,41.143002,42.556,63.017002,20.461002,45.676998,62.073,63.227002,1.096998,2.253,0.21
core12.veccore0,12,0,22.731001,23.83,16.473,40.302999,41.143002,42.556999,63.133999,20.577,45.673,60.629002,63.224999,1.098999,2.254,0.091
core12.veccore1,12,1,22.732,23.827,16.476999,40.303999,41.146,42.560001,63.099002,20.539,45.682999,60.782,63.227002,1.094999,2.256002,0.128
core13.veccore0,13,0,22.732,23.823999,16.479,40.302999,41.146999,42.555,61.786001,19.231,45.674,62.207,63.225998,1.091999,2.252001,1.439998
core13.veccore1,13,1,22.733,23.820999,16.482,40.302999,41.146,42.556999,61.786001,19.229001,45.671001,62.207,63.227002,1.087999,2.254,1.441001
core14.veccore0,14,0,22.733,23.833,16.469999,40.302999,41.145,42.557999,61.788999,19.231,45.681,62.220999,63.226002,1.1,2.254999,1.437003
core14.veccore1,14,1,22.733999,23.830999,16.472,40.302999,41.141998,42.558998,61.781999,19.223001,45.676998,62.192999,63.225999,1.097,2.255999,1.444
core15.veccore0,15,0,22.733999,23.833,16.469999,40.302999,41.341999,42.748001,62.430002,19.682,45.866001,63.135002,63.135002,1.099001,2.445002,0.705
core15.veccore1,15,1,22.735001,23.832001,16.471001,40.303001,41.344002,42.75,63.017002,20.267002,45.866001,62.072,63.225998,1.097,2.446999,0.208997
core16.veccore0,16,0,22.736,23.837999,16.466,40.303999,41.146999,42.557999,63.019001,20.461002,45.678001,61.980001,63.227002,1.101999,2.254,0.208001
core16.veccore1,16,1,22.736,23.836,16.468,40.304001,41.141998,42.556999,63.02,20.463001,45.665001,61.992,63.224999,1.1,2.252998,0.204999
core17.veccore0,17,0,22.737,23.832001,16.471001,40.303001,41.144001,42.556999,63.017002,20.460002,45.664001,61.987,63.225998,1.095001,2.253998,0.208997
core17.veccore1,17,1,22.737,23.833,16.469999,40.302999,41.145,42.557999,63.017002,20.459003,45.675999,61.986001,63.225998,1.096001,2.254999,0.208997
core18.veccore0,18,0,22.738001,23.837,16.466999,40.303999,41.141998,42.556,61.785001,19.229001,45.678001,62.202001,63.226,1.098999,2.252001,1.440998
core18.veccore1,18,1,22.738001,23.837,16.466,40.302999,41.146,42.558998,61.788999,19.230001,45.68,62.214999,63.225999,1.098999,2.255999,1.437
core19.veccore0,19,0,22.739,23.839001,16.464001,40.303001,41.141998,42.553001,60.529001,17.975999,45.666,61.987,63.226002,1.1,2.25,2.697001
core19.veccore1,19,1,22.739,23.841,16.462999,40.303999,41.147999,42.558998,60.528001,17.969003,45.681,61.986001,63.225998,1.101999,2.254999,2.697997
