logical_core,aic_count,aiv_count,useful_aic_count,active_aiv_count,inactive_aiv_count,start_us,end_us,span_us,events,transfer_bytes
0,1,2,1,2,0,22.707001,63.227002,40.520001,49846,1618560
1,1,2,1,2,0,22.707001,63.225998,40.518997,50032,1618560
2,1,2,1,2,0,22.708,63.225999,40.517999,45936,1617024
3,1,2,1,2,0,22.709,63.227002,40.518002,49713,1618560
4,1,2,1,2,0,22.711,63.225998,40.514998,50025,1618560
5,1,2,1,2,0,22.712,63.227002,40.515002,48247,1618304
6,1,2,1,2,0,22.712999,63.226,40.513001,46805,1617024
7,1,2,1,2,0,22.714001,63.227002,40.513001,46633,1617024
8,1,2,1,2,0,22.715,63.226,40.511,46806,1617024
9,1,2,1,2,0,22.716,63.227002,40.511002,46815,1617024
10,1,2,1,2,0,22.716999,63.226,40.509001,50027,1618560
11,1,2,1,2,0,22.718,63.227002,40.509002,48448,1617792
12,1,2,1,2,0,22.719,63.227002,40.508002,49877,1581696
13,1,2,1,2,0,22.721001,63.227002,40.506001,45980,1580160
14,1,2,1,2,0,22.722,63.226002,40.504002,45023,1551488
15,1,2,1,2,0,22.723,63.225998,40.502998,44991,1517952
16,1,2,1,2,0,22.724001,63.227002,40.503001,45897,1551488
17,1,2,1,2,0,22.725,63.225998,40.500998,45907,1551488
18,1,2,1,2,0,22.726,63.226,40.5,45024,1551488
19,1,2,1,2,0,22.726999,63.226002,40.499003,45032,1551488
