engine,tid,instruction,count,sum_duration_us,avg_duration_ns,max_duration_ns,process_bytes
AIV,FLOWCTRL,WAIT_FLAG_DEVI,40,659.287001,16482.175,16507.0,0
AIV,SCALAR,ST_XD_XN_IMM,19675,647.574995,32.914,251.0,0
AIV,VECTOR,MOVEMASK,40500,420.887985,10.392,157.0,0
AIC,SCALAR,ST_XD_XN_IMM,18262,402.422999,22.036,303.0,0
AIV,VECTOR,VOR,4064,305.872003,75.264,100.0,0
AIC,FIXP,FIX_L0C_TO_DST,314,291.039001,926.876,1901.0,5120000
AIC,FIXP,MOV_SPR_XN,314,258.869,824.424,1900.0,0
AIC,SCALAR,STI_XN_IMM,8376,249.24,29.756,295.0,0
AIC,MTE2,MOV_OUT_TO_L1_MULTI_ND2NZ,628,248.464001,395.643,714.0,10256384
AIV,MTE2,MOV_SRC_TO_DST_ALIGN,587,241.121,410.768,542.0,225536
AIV,SCALAR,LD_XD_XN_IMM,72818,230.497002,3.165,203.0,0
AIC,CUBE,MMAD,314,201.853998,642.847,1451.0,0
AIV,MTE3,MOV_UB_TO_OUT,479,193.574,404.121,1842.0,7847936
AIC,SCALAR,STP_XI_XJ_XN,4902,184.198998,37.576,309.0,0
AIV,SCALAR,STP_XI_XJ_XN,1440,183.995,127.774,296.0,0
AIC,SCALAR,LD_XD_XN_IMM,50148,171.992002,3.43,204.0,0
AIV,SCALAR,STI_XN_IMM,2947,141.061999,47.866,166.0,0
AIV,VECTOR,VCOPY,8111,105.443002,13.0,13.0,0
AIV,VECTOR,VMUL,966,91.733998,94.963,166.0,0
AIC,MTE3,MOV_L1_TO_OUT,340,76.625,225.368,244.0,657920
AIV,VECTOR,VBRCB,8122,73.097997,9.0,9.0,0
AIV,SCALAR,MOV_XD_IMM,64753,64.753003,1.0,1.0,0
AIV,SCALAR,ADD,57362,57.362003,1.0,1.0,0
AIV,SCALAR,STI_XN_XM,1424,55.044,38.654,162.0,0
AIV,SCALAR,ZEROEXT,51311,51.311002,1.0,1.0,0
AIV,MTE2,MOV_OUT_TO_UB,199,47.828,240.342,299.0,2615296
AIC,SCALAR,LDP_XI_XJ_XN,4856,47.703,9.824,204.0,0
AIC,SCALAR,LD_XD_XN,2198,43.073001,19.596,228.0,0
AIV,SCALAR,SHL,42253,42.253002,1.0,1.0,0
AIC,MTE1,LOAD_2D,314,41.34,131.656,132.0,5128192
AIV,SCALAR,MOV_XD_XN,40845,40.845002,1.0,1.0,0
AIV,VECTOR,VEXP,254,39.878001,157.0,157.0,0
AIV,SCALAR,LD_XD_XN,1064,34.791001,32.698,202.0,0
AIV,SCALAR,MOVK,34284,34.284002,1.0,1.0,0
AIV,VECTOR,VADD,508,33.974,66.878,74.0,0
AIV,VECTOR,VCMPVS,254,24.582001,96.78,101.0,0
AIC,SCALAR,ST_XD_XN,1256,23.864,19.0,21.0,0
AIV,VECTOR,VSEL,254,21.71,85.472,86.0,0
AIC,SCALAR,ADD_IMM,21336,21.336001,1.0,1.0,0
AIV,VECTOR,BAR,21273,21.273001,1.0,1.0,0
AIC,SCALAR,SIGNEXT,18850,18.850001,1.0,1.0,0
AIC,MTE1,LOAD_L1_TO_DST_3DV2,314,18.49,58.885,59.0,0
AIV,SCALAR,OR,17570,17.570001,1.0,1.0,0
AIC,SCALAR,ZEROEXT,17400,17.400001,1.0,1.0,0
AIC,SCALAR,STI_XN_XM,688,17.175,24.964,161.0,0
