pid,logical_core,engine,lane,role,event_count,start_us,end_us,span_us,wait_dev_us,cube_mmad_count,vector_math_count,vector_control_count,transfer_bytes,vector_signature
core0.cubecore0,0,AIC,0,useful_aic,15292,22.707001,40.398,17.691,0.003,16,0,20,1081472,
core0.veccore0,0,AIV,0,active_aiv,17160,22.708,63.227002,40.519002,16.507,0,73,1655,268544,BAR:560;MOVEMASK:1065;MOVEV:21;VADD:14;VBRCB:213;VCMPVS:7;VCONV:7;VCOPY:212;VEXP:7;VMOVMASK_XN:7;VMUL:24;VMULS:7;VOR:112;VSEL:7
core0.veccore1,0,AIV,1,active_aiv,17394,22.709,63.224999,40.515999,16.506001,0,74,1703,268544,BAR:576;MOVEMASK:1097;MOVEV:21;VADD:14;VBRCB:220;VCMPVS:7;VCONV:7;VCOPY:219;VEXP:7;VMOVMASK_XN:7;VMUL:25;VMULS:7;VOR:112;VSEL:7
core1.cubecore0,1,AIC,0,useful_aic,15292,22.707001,40.398,17.691,0.122,16,0,20,1081472,
core1.veccore0,1,AIV,0,active_aiv,17420,22.709999,63.222001,40.512002,16.506001,0,74,1715,268544,BAR:580;MOVEMASK:1105;MOVEV:21;VADD:14;VBRCB:222;VCMPVS:7;VCONV:7;VCOPY:221;VEXP:7;VMOVMASK_XN:7;VMUL:25;VMULS:7;VOR:112;VSEL:7
core1.veccore1,1,AIV,1,active_aiv,17320,22.711,63.225998,40.514998,16.502001,0,73,1677,268544,BAR:568;MOVEMASK:1079;MOVEV:21;VADD:14;VBRCB:216;VCMPVS:7;VCONV:7;VCOPY:216;VEXP:7;VMOVMASK_XN:7;VMUL:24;VMULS:7;VOR:112;VSEL:7
core2.cubecore0,2,AIC,0,useful_aic,15292,22.708,40.398,17.69,0.003,16,0,20,1081472,
core2.veccore0,2,AIV,0,active_aiv,15324,22.712,63.225999,40.513999,16.499001,0,66,1488,267776,BAR:504;MOVEMASK:958;MOVEV:18;VADD:12;VBRCB:192;VCMPVS:6;VCONV:6;VCOPY:192;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:6;VOR:96;VSEL:6
core2.veccore1,2,AIV,1,active_aiv,15320,22.712999,63.225,40.512,16.500999,0,66,1488,267776,BAR:504;MOVEMASK:958;MOVEV:18;VADD:12;VBRCB:192;VCMPVS:6;VCONV:6;VCOPY:192;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:6;VOR:96;VSEL:6
core3.cubecore0,3,AIC,0,useful_aic,15292,22.709,40.398,17.689001,0.122,16,0,20,1081472,
core3.veccore0,3,AIV,0,active_aiv,17260,22.714001,63.227002,40.513001,16.497999,0,73,1668,268544,BAR:565;MOVEMASK:1073;MOVEV:21;VADD:14;VBRCB:215;VCMPVS:7;VCONV:7;VCOPY:215;VEXP:7;VMOVMASK_XN:7;VMUL:24;VMULS:7;VOR:112;VSEL:7
core3.veccore1,3,AIV,1,active_aiv,17161,22.716,63.225998,40.509999,16.496,0,73,1655,268544,BAR:560;MOVEMASK:1065;MOVEV:21;VADD:14;VBRCB:213;VCMPVS:7;VCONV:7;VCOPY:212;VEXP:7;VMOVMASK_XN:7;VMUL:24;VMULS:7;VOR:112;VSEL:7
core4.cubecore0,4,AIC,0,useful_aic,15292,22.711,40.398,17.687,0.003,16,0,20,1081472,
core4.veccore0,4,AIV,0,active_aiv,17323,22.716999,63.225998,40.508999,16.5,0,73,1677,268544,BAR:568;MOVEMASK:1079;MOVEV:21;VADD:14;VBRCB:216;VCMPVS:7;VCONV:7;VCOPY:216;VEXP:7;VMOVMASK_XN:7;VMUL:24;VMULS:7;VOR:112;VSEL:7
core4.veccore1,4,AIV,1,active_aiv,17410,22.718,63.223,40.505,16.497,0,74,1715,268544,BAR:580;MOVEMASK:1105;MOVEV:21;VADD:14;VBRCB:222;VCMPVS:7;VCONV:7;VCOPY:221;VEXP:7;VMOVMASK_XN:7;VMUL:25;VMULS:7;VOR:112;VSEL:7
core5.cubecore0,5,AIC,0,useful_aic,15292,22.712,40.398,17.686001,0.122,16,0,20,1081472,
core5.veccore0,5,AIV,0,active_aiv,17168,22.719,63.227002,40.508002,16.497,0,73,1655,268544,BAR:560;MOVEMASK:1065;MOVEV:21;VADD:14;VBRCB:213;VCMPVS:7;VCONV:7;VCOPY:212;VEXP:7;VMOVMASK_XN:7;VMUL:24;VMULS:7;VOR:112;VSEL:7
core5.veccore1,5,AIV,1,active_aiv,15787,22.719999,63.224,40.504,16.496,0,67,1534,268288,BAR:518;MOVEMASK:990;MOVEV:18;VADD:12;VBRCB:199;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core6.cubecore0,6,AIC,0,useful_aic,15292,22.712999,40.398,17.685001,0.003,16,0,20,1081472,
core6.veccore0,6,AIV,0,active_aiv,15759,22.721001,63.226,40.504999,16.497,0,67,1529,267776,BAR:517;MOVEMASK:986;MOVEV:18;VADD:12;VBRCB:198;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core6.veccore1,6,AIV,1,active_aiv,15754,22.722,63.225998,40.503998,16.492001,0,67,1529,267776,BAR:517;MOVEMASK:986;MOVEV:18;VADD:12;VBRCB:198;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core7.cubecore0,7,AIC,0,useful_aic,15292,22.714001,40.398,17.684,0.122,16,0,20,1081472,
core7.veccore0,7,AIV,0,active_aiv,15654,22.723,63.224999,40.501999,16.483999,0,67,1517,267776,BAR:513;MOVEMASK:978;MOVEV:18;VADD:12;VBRCB:196;VCMPVS:6;VCONV:6;VCOPY:196;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core7.veccore1,7,AIV,1,active_aiv,15687,22.724001,63.227002,40.503001,16.485001,0,67,1522,267776,BAR:514;MOVEMASK:982;MOVEV:18;VADD:12;VBRCB:197;VCMPVS:6;VCONV:6;VCOPY:196;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core8.cubecore0,8,AIC,0,useful_aic,15292,22.715,40.398,17.683,0.003,16,0,20,1081472,
