engine,instruction,src,dst,process_bytes_each,xn_value,event_count,unique_pids,total_bytes,avg_duration_us,max_duration_us
AIC,LOAD_2D,L1,L0B,16384,0x4000,312,20,5111808,0.132,0.132
AIC,FIX_L0C_TO_DST,L0C32,OUT,16384,0,312,20,5111808,0.93183,1.901
AIV,MOV_UB_TO_OUT,UB,OUT,16384,0xc000,120,40,1966080,0.27055,0.435
AIV,MOV_UB_TO_OUT,UB,OUT,16384,0x10000,120,40,1966080,0.4107,0.522
AIV,MOV_UB_TO_OUT,UB,OUT,16384,0x14000,120,40,1966080,0.315725,1.614
AIV,MOV_UB_TO_OUT,UB,OUT,16384,0x18000,119,40,1949696,0.621319,1.842
AIC,MOV_L1_TO_OUT,L1,OUT,2048,0,320,20,655360,0.225841,0.244
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11311800,2,1,32768,0.5335,0.536
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11361800,2,1,32768,0.567,0.599
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113b1800,2,1,32768,0.5405,0.546
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11401800,2,1,32768,0.553,0.587
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11451800,2,1,32768,0.537,0.538
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114a1800,2,1,32768,0.536,0.541
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114f1800,2,1,32768,0.556,0.586
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11541800,2,1,32768,0.5385,0.539
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11591800,2,1,32768,0.5375,0.543
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115e1800,2,1,32768,0.554,0.587
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11631800,2,1,32768,0.637,0.713
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11681800,2,1,32768,0.602,0.677
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116d1800,2,1,32768,0.6285,0.706
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11721800,2,1,32768,0.63,0.705
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11771800,2,1,32768,0.577,0.655
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117c1800,2,1,32768,0.6255,0.699
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11311900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11361900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113b1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11401900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11451900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114a1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114f1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11541900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11591900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115e1900,2,1,32768,0.236,0.236
