pid,logical_core,engine,lane,tid,wait_name,start_us,duration_us,detail,pc_addr,source_phase
core0.veccore0,0,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.797001,16.507,"UIMM:0xd,",0x140e723c,X
core0.veccore1,0,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.798,16.506001,"UIMM:0xd,",0x140e723c,X
core1.veccore0,1,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.798,16.506001,"UIMM:0xd,",0x140e723c,X
core1.veccore1,1,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.801001,16.502001,"UIMM:0xd,",0x140e723c,X
core2.veccore1,2,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.802999,16.500999,"UIMM:0xd,",0x140e723c,X
core4.veccore0,4,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.802999,16.5,"UIMM:0xd,",0x140e723c,X
core2.veccore0,2,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.804001,16.499001,"UIMM:0xd,",0x140e723c,X
core3.veccore0,3,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.805,16.497999,"UIMM:0xd,",0x140e723c,X
core4.veccore1,4,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.806999,16.497,"UIMM:0xd,",0x140e723c,X
core5.veccore0,5,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.806999,16.497,"UIMM:0xd,",0x140e723c,X
core6.veccore0,6,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.806,16.497,"UIMM:0xd,",0x140e723c,X
core3.veccore1,3,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.808001,16.496,"UIMM:0xd,",0x140e723c,X
core5.veccore1,5,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.806999,16.496,"UIMM:0xd,",0x140e723c,X
core6.veccore1,6,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.811001,16.492001,"UIMM:0xd,",0x140e723c,X
core7.veccore1,7,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.818001,16.485001,"UIMM:0xd,",0x140e723c,X
core7.veccore0,7,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.819,16.483999,"UIMM:0xd,",0x140e723c,X
core13.veccore1,13,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.820999,16.482,"UIMM:0xd,",0x140e723c,X
core13.veccore0,13,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.823999,16.479,"UIMM:0xd,",0x140e723c,X
core8.veccore1,8,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.825001,16.478001,"UIMM:0xd,",0x140e723c,X
core12.veccore1,12,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.827,16.476999,"UIMM:0xd,",0x140e723c,X
core8.veccore0,8,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.827999,16.476,"UIMM:0xd,",0x140e723c,X
core9.veccore0,9,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.827,16.476,"UIMM:0xd,",0x140e723c,X
core11.veccore1,11,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.827999,16.475,"UIMM:0xd,",0x140e723c,X
core11.veccore0,11,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.829,16.474001,"UIMM:0xd,",0x140e723c,X
core9.veccore1,9,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.829,16.474001,"UIMM:0xd,",0x140e723c,X
core12.veccore0,12,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.83,16.473,"UIMM:0xd,",0x140e723c,X
core10.veccore0,10,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.832001,16.472,"UIMM:0xd,",0x140e723c,X
core14.veccore1,14,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.830999,16.472,"UIMM:0xd,",0x140e723c,X
core15.veccore1,15,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.832001,16.471001,"UIMM:0xd,",0x140e723c,X
core17.veccore0,17,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.832001,16.471001,"UIMM:0xd,",0x140e723c,X
core10.veccore1,10,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.833,16.469999,"UIMM:0xd,",0x140e723c,X
core14.veccore0,14,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.833,16.469999,"UIMM:0xd,",0x140e723c,X
core15.veccore0,15,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.833,16.469999,"UIMM:0xd,",0x140e723c,X
core17.veccore1,17,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.833,16.469999,"UIMM:0xd,",0x140e723c,X
core16.veccore1,16,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.836,16.468,"UIMM:0xd,",0x140e723c,X
core18.veccore0,18,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.837,16.466999,"UIMM:0xd,",0x140e723c,X
core16.veccore0,16,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.837999,16.466,"UIMM:0xd,",0x140e723c,X
core18.veccore1,18,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.837,16.466,"UIMM:0xd,",0x140e723c,X
core19.veccore0,19,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,23.839001,16.464001,"UIMM:0xd,",0x140e723c,X
core19.veccore1,19,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,23.841,16.462999,"UIMM:0xd,",0x140e723c,X
core15.cubecore0,15,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,39.966999,0.332,"UIMM:0xb,",0x140e693c,X
core17.cubecore0,17,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,39.966999,0.332,"UIMM:0xb,",0x140e693c,X
core19.cubecore0,19,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,39.966999,0.332,"UIMM:0xb,",0x140e693c,X
core14.cubecore0,14,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.085999,0.213,"UIMM:0xb,",0x140e693c,X
core16.cubecore0,16,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.085999,0.213,"UIMM:0xb,",0x140e693c,X
core18.cubecore0,18,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.085999,0.213,"UIMM:0xb,",0x140e693c,X
core13.cubecore0,13,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.122002,0.177,"UIMM:0xb,",0x140e693c,X
core1.cubecore0,1,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.176998,0.122,"UIMM:0xb,",0x140e693c,X
core11.cubecore0,11,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.176998,0.122,"UIMM:0xb,",0x140e693c,X
core3.cubecore0,3,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.176998,0.122,"UIMM:0xb,",0x140e693c,X
core5.cubecore0,5,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.176998,0.122,"UIMM:0xb,",0x140e693c,X
core7.cubecore0,7,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.176998,0.122,"UIMM:0xb,",0x140e693c,X
core9.cubecore0,9,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.176998,0.122,"UIMM:0xb,",0x140e693c,X
core12.cubecore0,12,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.241001,0.058,"UIMM:0xb,",0x140e693c,X
core10.cubecore0,10,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.294998,0.004,"UIMM:0xb,",0x140e693c,X
core0.cubecore0,0,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.296001,0.003,"UIMM:0xb,",0x140e693c,X
core2.cubecore0,2,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.296001,0.003,"UIMM:0xb,",0x140e693c,X
core4.cubecore0,4,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.296001,0.003,"UIMM:0xb,",0x140e693c,X
core6.cubecore0,6,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.296001,0.003,"UIMM:0xb,",0x140e693c,X
core8.cubecore0,8,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.296001,0.003,"UIMM:0xb,",0x140e693c,X
core0.cubecore0,0,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.293999,0.0,"UIMM:0xc,",0x140e6930,X
core1.cubecore0,1,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.175999,0.0,"UIMM:0xc,",0x140e6930,X
core10.cubecore0,10,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.293999,0.0,"UIMM:0xc,",0x140e6930,X
core11.cubecore0,11,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.175999,0.0,"UIMM:0xc,",0x140e6930,X
core12.cubecore0,12,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.238998,0.0,"UIMM:0xc,",0x140e6930,X
core13.cubecore0,13,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.120998,0.0,"UIMM:0xc,",0x140e6930,X
core14.cubecore0,14,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.084,0.0,"UIMM:0xc,",0x140e6930,X
core15.cubecore0,15,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,39.966,0.0,"UIMM:0xc,",0x140e6930,X
core16.cubecore0,16,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.084,0.0,"UIMM:0xc,",0x140e6930,X
core17.cubecore0,17,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,39.966,0.0,"UIMM:0xc,",0x140e6930,X
core18.cubecore0,18,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.084,0.0,"UIMM:0xc,",0x140e6930,X
core19.cubecore0,19,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,39.966,0.0,"UIMM:0xc,",0x140e6930,X
core2.cubecore0,2,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.293999,0.0,"UIMM:0xc,",0x140e6930,X
core3.cubecore0,3,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.175999,0.0,"UIMM:0xc,",0x140e6930,X
core4.cubecore0,4,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.293999,0.0,"UIMM:0xc,",0x140e6930,X
core5.cubecore0,5,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.175999,0.0,"UIMM:0xc,",0x140e6930,X
core6.cubecore0,6,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.293999,0.0,"UIMM:0xc,",0x140e6930,X
core7.cubecore0,7,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.175999,0.0,"UIMM:0xc,",0x140e6930,X
core8.cubecore0,8,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.293999,0.0,"UIMM:0xc,",0x140e6930,X
core9.cubecore0,9,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,40.175999,0.0,"UIMM:0xc,",0x140e6930,X
