pid,logical_core,lane,start_us,wait_start_us,wait_duration_us,wait_end_us,first_copyin_us,vector_math_start_us,vector_math_end_us,vector_math_window_us,copyout_start_us,copyout_end_us,end_us,init_before_wait_us,post_wait_to_math_us,tail_after_math_us
core0.veccore0,0,0,20.375999,21.341999,16.322001,37.664,38.320999,39.014999,59.998001,20.983001,44.366001,55.879999,60.013001,0.966,1.351,0.015
core0.veccore1,0,1,20.377001,21.344,16.32,37.664,38.319,39.014,59.999,20.985,44.366001,55.874,60.009999,0.966999,1.35,0.010999
core1.veccore0,1,0,20.378,21.341999,16.322001,37.664,38.319,39.013,60.006,20.993,44.164001,55.555002,60.011999,0.963999,1.349001,0.005999
core1.veccore1,1,1,20.379,21.343,16.320999,37.664,38.32,39.013,60.005001,20.992,44.363998,55.759,60.013001,0.964001,1.349001,0.008
core2.veccore0,2,0,20.379999,21.346001,16.318001,37.664001,38.317001,39.014,59.999,20.985,44.365002,55.874,60.014,0.966002,1.349998,0.015
core2.veccore1,2,1,20.381001,21.347,16.316999,37.664,38.318001,39.014999,59.998001,20.983001,44.365002,55.879999,60.014,0.966,1.351,0.016
core3.veccore0,3,0,20.382,21.348,16.316,37.664,38.319,39.013,60.005001,20.992,44.363998,55.76,60.014,0.966,1.349001,0.009
core3.veccore1,3,1,20.382999,21.349001,16.315001,37.664001,38.32,39.013,59.941001,20.928001,44.162998,55.489999,60.012001,0.966002,1.348999,0.071
core4.veccore0,4,0,20.384001,21.348,16.316,37.664,38.318001,39.014,59.998001,20.984001,44.366001,55.877,60.014,0.963999,1.35,0.016
core4.veccore1,4,1,20.386,21.35,16.313999,37.664,38.319,39.014,59.998001,20.984001,44.365002,55.877,60.014,0.964001,1.35,0.016
core5.veccore0,5,0,20.386999,21.351,16.313,37.664,38.319,39.013,60.006,20.993,44.162998,55.555002,60.011999,0.964001,1.349001,0.005999
core5.veccore1,5,1,20.388,21.35,16.313999,37.664,38.318001,39.013,60.005001,20.992,44.367001,55.759,60.013001,0.962,1.349001,0.008
core6.veccore0,6,0,20.389,21.351,16.313,37.664,38.319,39.014,59.999,20.985,44.365002,55.874,60.009999,0.962,1.35,0.010999
core6.veccore1,6,1,20.389999,21.351999,16.312,37.664,38.320999,39.015999,59.998001,20.982002,44.365002,55.879999,60.013001,0.962,1.351999,0.015
core7.veccore0,7,0,20.391001,21.353001,16.311001,37.664001,38.318001,39.013,60.005001,20.992,44.367001,55.76,60.013001,0.962,1.348999,0.008
