logical_core,aic_count,aiv_count,useful_aic_count,active_aiv_count,inactive_aiv_count,start_us,end_us,span_us,events,transfer_bytes
0,1,2,1,2,0,20.374001,60.013001,39.639,75715,1350272
1,1,2,1,2,0,20.375,60.013001,39.638001,75987,1350272
2,1,2,1,2,0,20.375999,60.014,39.638001,75717,1350272
3,1,2,1,2,0,20.377001,60.014,39.636999,76057,1350272
4,1,2,1,2,0,20.378,60.014,39.636,75719,1350272
5,1,2,1,2,0,20.379,60.013001,39.634001,75987,1350272
6,1,2,1,2,0,20.381001,60.013001,39.632,75715,1350272
7,1,2,1,2,0,20.382,60.013001,39.631001,75985,1350272
8,1,2,1,2,0,20.382999,60.014,39.631001,75724,1350272
9,1,2,1,2,0,20.384001,60.014,39.629999,75987,1350272
10,1,2,1,2,0,20.385,60.014,39.629,75720,1350272
11,1,2,1,2,0,20.386,60.013001,39.627001,75710,1350272
12,1,2,1,2,0,20.386999,60.014,39.627001,75751,1313408
13,1,2,1,2,0,20.388,60.014002,39.626002,76021,1313408
14,1,2,1,2,0,20.389,60.013001,39.624001,74798,1284736
15,1,2,1,2,0,20.391001,60.012002,39.621001,74512,1284736
16,1,2,1,2,0,20.392,60.013001,39.621001,74797,1284736
17,1,2,1,2,0,20.393,60.013001,39.620001,75068,1284736
18,1,2,1,2,0,20.393999,60.013001,39.619002,74798,1284736
19,1,2,1,2,0,20.395,60.013001,39.618001,75070,1284736
