engine,tid,instruction,count,sum_duration_us,avg_duration_ns,max_duration_ns,process_bytes
AIV,VECTOR,MOVEMASK,164796,1712.259974,10.39,13.0,0
AIV,SCALAR,ST_XD_XN_IMM,27516,720.497992,26.185,180.0,0
AIV,FLOWCTRL,WAIT_FLAG_DEVI,40,652.332998,16308.325,16322.001,0
AIC,SCALAR,ST_XD_XN_IMM,18262,399.501999,21.876,297.0,0
AIC,FIXP,FIX_L0C_TO_DST,314,289.388,921.618,1909.0,5120000
AIV,VECTOR,VMULS,20310,264.030005,13.0,13.0,0
AIC,FIXP,MOV_SPR_XN,314,257.984,821.605,1909.0,0
AIC,MTE2,MOV_OUT_TO_L1_MULTI_ND2NZ,628,249.997001,398.084,716.0,10256384
AIV,VECTOR,VADDS,20480,245.760002,12.0,12.0,0
AIV,SCALAR,LD_XD_XN_IMM,54512,245.425005,4.502,225.0,0
AIC,SCALAR,STI_XN_IMM,8376,238.006999,28.415,289.0,0
AIC,CUBE,MMAD,314,201.231002,640.863,1497.0,0
AIC,SCALAR,STP_XI_XJ_XN,4902,187.92,38.335,297.0,0
AIV,SCALAR,ADD,166725,166.725008,1.0,1.0,0
AIC,SCALAR,LD_XD_XN_IMM,49908,161.545002,3.237,223.0,0
AIV,SCALAR,LD_XD_XN,20742,159.068005,7.669,212.0,0
AIV,MTE3,MOV_UB_TO_OUT,240,142.179002,592.413,1371.0,3932160
AIV,MTE2,MOV_SRC_TO_DST_ALIGN,320,127.815,399.422,486.0,122880
AIV,SCALAR,SHL,105325,105.325005,1.0,1.0,0
AIV,SCALAR,ZEROEXT,94748,94.748005,1.0,1.0,0
AIV,SCALAR,INSERT_XD,83376,83.376004,1.0,1.0,0
AIV,SCALAR,MOV_XD_SPR,82697,82.697004,1.0,1.0,0
AIV,SCALAR,STI_XN_IMM,1521,73.36,48.231,180.0,0
AIC,MTE3,MOV_L1_TO_OUT,340,70.416,207.106,236.0,657920
AIV,SCALAR,STP_XI_XJ_XN,440,65.146,148.059,180.0,0
AIV,SCALAR,ADD_IMM,52812,52.812003,1.0,1.0,0
AIV,SCALAR,SIGNEXT,44466,44.466002,1.0,1.0,0
AIC,SCALAR,LD_XD_XN,2198,43.258001,19.681,224.0,0
AIV,VECTOR,BAR,42308,42.308002,1.0,1.0,0
AIV,SCALAR,CMP,41653,41.653002,1.0,1.0,0
AIC,MTE1,LOAD_2D,314,41.34,131.656,132.0,5128192
AIC,SCALAR,LDP_XI_XJ_XN,4756,31.831,6.693,223.0,0
AIV,SCALAR,STI_XN_XM,801,29.525,36.86,153.0,0
AIV,MTE2,MOV_OUT_TO_UB,120,28.667,238.892,299.0,1320960
AIV,VECTOR,VEXP,160,25.120001,157.0,157.0,0
AIV,SCALAR,MOV_XD_XN,24689,24.689001,1.0,1.0,0
AIC,SCALAR,ST_XD_XN,1256,23.864,19.0,21.0,0
AIV,VECTOR,VMUL,240,21.68,90.333,91.0,0
AIC,SCALAR,ADD_IMM,21670,21.670001,1.0,1.0,0
AIC,SCALAR,SIGNEXT,18930,18.930001,1.0,1.0,0
AIC,MTE1,LOAD_L1_TO_DST_3DV2,314,18.49,58.885,59.0,0
AIC,SCALAR,MOV_XD_IMM,17526,17.526001,1.0,1.0,0
AIC,SCALAR,ZEROEXT,17460,17.460001,1.0,1.0,0
AIV,SCALAR,LDP_XI_XJ_XN,200,17.248,86.24,217.0,0
AIC,SCALAR,STI_XN_XM,688,17.044,24.773,158.0,0
AIV,VECTOR,VSEL,160,14.56,91.0,93.0,0
AIV,VECTOR,VCMPVS,160,14.0,87.5,93.0,0
AIC,SCALAR,SHL,13154,13.154001,1.0,1.0,0
AIC,SCALAR,ADD,12336,12.336001,1.0,1.0,0
AIC,SCALAR,AND,11404,11.404001,1.0,1.0,0
AIC,SCALAR,SEL,8856,8.856,1.0,1.0,0
AIC,SCALAR,CMP_IMM,8762,8.762,1.0,1.0,0
AIC,SCALAR,SHR,7856,7.856,1.0,1.0,0
AIC,SCALAR,REM,692,7.612,11.0,11.0,0
AIC,SCALAR,SUB_IMM,6022,6.022,1.0,1.0,0
AIC,SCALAR,MOVK,5866,5.866,1.0,1.0,0
AIC,SCALAR,CMP,5378,5.378,1.0,1.0,0
AIV,SCALAR,MOV_XD_IMM,5371,5.371,1.0,1.0,0
AIC,SCALAR,OR,5024,5.024,1.0,1.0,0
AIV,SCALAR,DIV,440,4.84,11.0,11.0,0
AIC,SCALAR,MUL,4222,4.222,1.0,1.0,0
AIC,SCALAR,DIV,378,4.158,11.0,11.0,0
AIC,SCALAR,DC_PRELOAD_XN_IMM,20,4.11,205.5,216.0,0
AIV,SCALAR,MOVK,4067,4.067,1.0,1.0,0
AIC,SCALAR,MADD,1904,3.808,2.0,2.0,0
AIC,SCALAR,MOV_XD_XN,3520,3.52,1.0,1.0,0
AIC,FLOWCTRL,WAIT_FLAG_DEVI,40,2.612,65.3,331.0,0
AIC,SCALAR,SBITSET,2572,2.572,1.0,1.0,0
AIV,SCALAR,AND,2163,2.163,1.0,1.0,0
AIV,SCALAR,SHR,2120,2.12,1.0,1.0,0
AIC,SCALAR,INSERT_XD,2044,2.044,1.0,1.0,0
AIV,SCALAR,CMP_IMM,1601,1.601,1.0,1.0,0
AIC,SCALAR,SUB,1570,1.57,1.0,1.0,0
AIC,SCALAR,MIN,1570,1.57,1.0,1.0,0
AIV,SCALAR,SBITSET,1485,1.485,1.0,1.0,0
AIV,VECTOR,MOVEV,160,1.44,9.0,9.0,0
AIV,VECTOR,VMOVMASK_XN,160,1.44,9.0,9.0,0
AIC,SCALAR,SFF,1336,1.336,1.0,1.0,0
AIC,SCALAR,NEG,1336,1.336,1.0,1.0,0
AIV,SCALAR,MUL,1280,1.28,1.0,1.0,0
AIV,SCALAR,NEG,1242,1.242,1.0,1.0,0
AIV,SCALAR,SFF,884,0.884,1.0,1.0,0
AIC,MTE2,SET_2D,20,0.86,43.0,43.0,0
AIC,MTE1,MOV_SPR_XN,414,0.828,2.0,2.0,0
AIV,SCALAR,OR,760,0.76,1.0,1.0,0
AIV,SCALAR,SUB,720,0.72,1.0,1.0,0
AIV,SCALAR,MADD,360,0.72,2.0,2.0,0
AIC,SCALAR,CMPN,648,0.648,1.0,1.0,0
AIV,SCALAR,SUB_IMM,560,0.56,1.0,1.0,0
AIV,SCALAR,SEL,480,0.48,1.0,1.0,0
AIC,SCALAR,MOVX8_XD_IMM,374,0.374,1.0,1.0,0
AIC,SCALAR,MOV_SPR_XN,394,0.314,0.797,1.0,0
AIC,FIXP,BAR,314,0.314,1.0,1.0,0
AIV,SCALAR,MIN,240,0.24,1.0,1.0,0
AIV,SCALAR,CMPN,240,0.24,1.0,1.0,0
AIV,SCALAR,MAX,240,0.24,1.0,1.0,0
AIV,SCALAR,MOVX8_XD_IMM,200,0.2,1.0,1.0,0
AIC,SCALAR,MOV_XD_SPR,180,0.18,1.0,1.0,0
AIV,SCALAR,MUL_IMM,160,0.16,1.0,1.0,0
AIC,MTE2,MOV_SPR_XN,60,0.12,2.0,2.0,0
AIV,SCALAR,MOV_SPR_XN,82375,0.08,0.001,1.0,0
AIC,ALL,BAR,80,0.08,1.0,1.0,0
AIV,ALL,BAR,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e6d00,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e6d80,80,0.08,1.0,1.0,0
AIV,CACHEMISS,0x140e6e00,80,0.08,1.0,1.0,0
AIC,MTE3,SET_CROSS_CORE,40,0.08,2.0,2.0,0
AIV,MTE3,SET_CROSS_CORE,40,0.08,2.0,2.0,0
AIC,FLOWCTRL,DCCI,20,0.06,3.0,3.0,0
AIC,SCALAR,INSERT_XD_XN,40,0.04,1.0,1.0,0
AIC,CACHEMISS,0x140e4000,40,0.04,1.0,1.0,0
AIC,CACHEMISS,0x140e4080,40,0.04,1.0,1.0,0
AIC,CACHEMISS,0x140e4100,40,0.04,1.0,1.0,0
AIC,CACHEMISS,0x140e4180,40,0.04,1.0,1.0,0
AIV,SCALAR,INSERT_XD_XN,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e6cac,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e6c80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e6e80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e6f00,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e6f80,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7000,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7080,40,0.04,1.0,1.0,0
AIV,CACHEMISS,0x140e7100,40,0.04,1.0,1.0,0
