pid,logical_core,engine,lane,role,event_count,start_us,end_us,span_us,wait_dev_us,cube_mmad_count,vector_math_count,vector_control_count,transfer_bytes,vector_signature
core0.cubecore0,0,AIC,0,useful_aic,15421,20.374001,37.759001,17.385,0.003,16,0,20,1081472,
core0.veccore0,0,AIV,0,active_aiv,30148,20.375999,60.013001,39.637002,16.322001,0,1036,5179,134400,BAR:1056;MOVEMASK:4113;MOVEV:4;VADDS:512;VCMPVS:4;VEXP:4;VMOVMASK_XN:4;VMUL:6;VMULS:506;VSEL:4
core0.veccore1,0,AIV,1,active_aiv,30146,20.377001,60.009999,39.632998,16.32,0,1036,5179,134400,BAR:1056;MOVEMASK:4113;MOVEV:4;VADDS:512;VCMPVS:4;VEXP:4;VMOVMASK_XN:4;VMUL:6;VMULS:506;VSEL:4
core1.cubecore0,1,AIC,0,useful_aic,15421,20.375,37.759001,17.384001,0.121,16,0,20,1081472,
core1.veccore0,1,AIV,0,active_aiv,30424,20.378,60.011999,39.633999,16.322001,0,1046,5228,134400,BAR:1066;MOVEMASK:4152;MOVEV:4;VADDS:512;VCMPVS:4;VEXP:4;VMOVMASK_XN:4;VMUL:6;VMULS:516;VSEL:4
core1.veccore1,1,AIV,1,active_aiv,30142,20.379,60.013001,39.634001,16.320999,0,1036,5179,134400,BAR:1056;MOVEMASK:4113;MOVEV:4;VADDS:512;VCMPVS:4;VEXP:4;VMOVMASK_XN:4;VMUL:6;VMULS:506;VSEL:4
core2.cubecore0,2,AIC,0,useful_aic,15421,20.375999,37.759001,17.383001,0.004,16,0,20,1081472,
core2.veccore0,2,AIV,0,active_aiv,30147,20.379999,60.014,39.634001,16.318001,0,1036,5179,134400,BAR:1056;MOVEMASK:4113;MOVEV:4;VADDS:512;VCMPVS:4;VEXP:4;VMOVMASK_XN:4;VMUL:6;VMULS:506;VSEL:4
core2.veccore1,2,AIV,1,active_aiv,30149,20.381001,60.014,39.633,16.316999,0,1036,5179,134400,BAR:1056;MOVEMASK:4113;MOVEV:4;VADDS:512;VCMPVS:4;VEXP:4;VMOVMASK_XN:4;VMUL:6;VMULS:506;VSEL:4
core3.cubecore0,3,AIC,0,useful_aic,15421,20.377001,37.759001,17.382,0.121,16,0,20,1081472,
core3.veccore0,3,AIV,0,active_aiv,30142,20.382,60.014,39.632001,16.316,0,1036,5179,134400,BAR:1056;MOVEMASK:4113;MOVEV:4;VADDS:512;VCMPVS:4;VEXP:4;VMOVMASK_XN:4;VMUL:6;VMULS:506;VSEL:4
core3.veccore1,3,AIV,1,active_aiv,30494,20.382999,60.012001,39.629002,16.315001,0,1046,5230,134400,BAR:1066;MOVEMASK:4154;MOVEV:4;VADDS:512;VCMPVS:4;VEXP:4;VMOVMASK_XN:4;VMUL:6;VMULS:516;VSEL:4
core4.cubecore0,4,AIC,0,useful_aic,15421,20.378,37.759001,17.381,0.004,16,0,20,1081472,
