engine,instruction,src,dst,process_bytes_each,xn_value,event_count,unique_pids,total_bytes,avg_duration_us,max_duration_us
AIC,LOAD_2D,L1,L0B,16384,0x4000,312,20,5111808,0.132,0.132
AIC,FIX_L0C_TO_DST,L0C32,OUT,16384,0,312,20,5111808,0.926538,1.909
AIV,MOV_UB_TO_OUT,UB,OUT,16384,0x4000,80,40,1310720,0.235513,0.272
AIV,MOV_UB_TO_OUT,UB,OUT,16384,0x8000,80,40,1310720,0.349338,0.413
AIC,MOV_L1_TO_OUT,L1,OUT,2048,0,320,20,655360,0.207603,0.236
AIV,MOV_UB_TO_OUT,UB,OUT,16384,0xc000,40,40,655360,1.0901,1.223
AIV,MOV_UB_TO_OUT,UB,OUT,16384,0x10000,40,40,655360,1.294675,1.371
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11311800,2,1,32768,0.5465,0.555
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11361800,2,1,32768,0.5645,0.611
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113b1800,2,1,32768,0.535,0.538
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11401800,2,1,32768,0.542,0.577
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11451800,2,1,32768,0.5455,0.55
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114a1800,2,1,32768,0.533,0.536
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114f1800,2,1,32768,0.545,0.578
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11541800,2,1,32768,0.544,0.549
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11591800,2,1,32768,0.549,0.552
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115e1800,2,1,32768,0.5405,0.583
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11631800,2,1,32768,0.6315,0.709
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11681800,2,1,32768,0.5725,0.647
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116d1800,2,1,32768,0.6295,0.703
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11721800,2,1,32768,0.617,0.691
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11771800,2,1,32768,0.566,0.642
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117c1800,2,1,32768,0.6035,0.678
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11311900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11361900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113b1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11401900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11451900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114a1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114f1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11541900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11591900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115e1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11631900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11681900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116d1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11721900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11771900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117c1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11339800,2,1,32768,0.553,0.563
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11389800,2,1,32768,0.551,0.558
