pid,logical_core,engine,lane,tid,wait_name,start_us,duration_us,detail,pc_addr,source_phase
core0.veccore0,0,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.341999,16.322001,"UIMM:0xd,",0x140e6e28,X
core1.veccore0,1,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.341999,16.322001,"UIMM:0xd,",0x140e6e28,X
core1.veccore1,1,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.343,16.320999,"UIMM:0xd,",0x140e6e28,X
core0.veccore1,0,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.344,16.32,"UIMM:0xd,",0x140e6e28,X
core2.veccore0,2,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.346001,16.318001,"UIMM:0xd,",0x140e6e28,X
core2.veccore1,2,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.347,16.316999,"UIMM:0xd,",0x140e6e28,X
core3.veccore0,3,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.348,16.316,"UIMM:0xd,",0x140e6e28,X
core4.veccore0,4,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.348,16.316,"UIMM:0xd,",0x140e6e28,X
core3.veccore1,3,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.349001,16.315001,"UIMM:0xd,",0x140e6e28,X
core4.veccore1,4,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.35,16.313999,"UIMM:0xd,",0x140e6e28,X
core5.veccore1,5,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.35,16.313999,"UIMM:0xd,",0x140e6e28,X
core5.veccore0,5,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.351,16.313,"UIMM:0xd,",0x140e6e28,X
core6.veccore0,6,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.351,16.313,"UIMM:0xd,",0x140e6e28,X
core6.veccore1,6,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.351999,16.312,"UIMM:0xd,",0x140e6e28,X
core7.veccore0,7,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.353001,16.311001,"UIMM:0xd,",0x140e6e28,X
core7.veccore1,7,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.354,16.309999,"UIMM:0xd,",0x140e6e28,X
core8.veccore0,8,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.354,16.309999,"UIMM:0xd,",0x140e6e28,X
core8.veccore1,8,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.355,16.309,"UIMM:0xd,",0x140e6e28,X
core10.veccore0,10,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.357,16.306999,"UIMM:0xd,",0x140e6e28,X
core11.veccore0,11,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.357,16.306999,"UIMM:0xd,",0x140e6e28,X
core11.veccore1,11,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.357,16.306999,"UIMM:0xd,",0x140e6e28,X
core9.veccore1,9,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.357,16.306999,"UIMM:0xd,",0x140e6e28,X
core12.veccore0,12,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.358,16.306,"UIMM:0xd,",0x140e6e28,X
core13.veccore0,13,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.358,16.306,"UIMM:0xd,",0x140e6e28,X
core10.veccore1,10,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.358999,16.305,"UIMM:0xd,",0x140e6e28,X
core13.veccore1,13,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.358999,16.305,"UIMM:0xd,",0x140e6e28,X
core9.veccore0,9,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.358999,16.305,"UIMM:0xd,",0x140e6e28,X
core12.veccore1,12,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.358999,16.304001,"UIMM:0xd,",0x140e6e28,X
core17.veccore0,17,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.361,16.302999,"UIMM:0xd,",0x140e6e28,X
core14.veccore1,14,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.362,16.302,"UIMM:0xd,",0x140e6e28,X
core15.veccore0,15,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.362,16.302,"UIMM:0xd,",0x140e6e28,X
core14.veccore0,14,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.363001,16.301001,"UIMM:0xd,",0x140e6e28,X
core15.veccore1,15,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.363001,16.301001,"UIMM:0xd,",0x140e6e28,X
core17.veccore1,17,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.363001,16.301001,"UIMM:0xd,",0x140e6e28,X
core16.veccore0,16,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.365,16.299,"UIMM:0xd,",0x140e6e28,X
core16.veccore1,16,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.364,16.299,"UIMM:0xd,",0x140e6e28,X
core18.veccore0,18,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.365,16.299,"UIMM:0xd,",0x140e6e28,X
core18.veccore1,18,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.365999,16.298,"UIMM:0xd,",0x140e6e28,X
core19.veccore0,19,AIV,0,FLOWCTRL,WAIT_FLAG_DEVI,21.365999,16.298,"UIMM:0xd,",0x140e6e28,X
core19.veccore1,19,AIV,1,FLOWCTRL,WAIT_FLAG_DEVI,21.365999,16.298,"UIMM:0xd,",0x140e6e28,X
core15.cubecore0,15,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,37.328999,0.331,"UIMM:0xb,",0x140e6948,X
core17.cubecore0,17,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,37.328999,0.331,"UIMM:0xb,",0x140e6948,X
core19.cubecore0,19,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,37.328999,0.331,"UIMM:0xb,",0x140e6948,X
core14.cubecore0,14,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,37.445999,0.213,"UIMM:0xb,",0x140e6948,X
core16.cubecore0,16,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,37.445999,0.213,"UIMM:0xb,",0x140e6948,X
core18.cubecore0,18,AIC,0,FLOWCTRL,WAIT_FLAG_DEVI,37.445999,0.213,"UIMM:0xb,",0x140e6948,X
